accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.8846153846153846,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8270509977827052,0.6571428571428571,0.25,0.8461538461538461,0.7932479569308213,1990.0,52,13
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.25,0.96875,0.930530303030303,2000.0,64,16
0.9,1.0,0.6363636363636364,0.7777777777777778,0.9,0.9,0.9,0.8566308243727598,0.7173144876325088,0.275,0.9529780564263323,0.9032148407148408,2010.0,40,11
0.93,1.0,0.7307692307692307,0.8444444444444444,0.93,0.93,0.93,0.8996415770609318,0.8006833712984054,0.26,0.9625779625779626,0.9298374370987101,2020.0,100,26
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,,4,1
