accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9921259842519685,0.8,0.6666666666666666,0.7272727272727273,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.8616390267522092,0.7233115468409586,0.015748031496062992,0.9933333333333333,0.8180827886710239,Bild,381,6
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,FAZ,324,0
0.9961464354527938,1.0,0.5,0.6666666666666666,0.9961464354527938,0.9961464354527938,0.9961464354527938,0.8323643410852712,0.6649451258876695,0.007707129094412331,0.7451456310679612,0.5519342359767893,Figaro,519,4
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,Liberation,168,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004761904761904762,1.0,1.0,Mediapart,210,1
0.9910514541387024,0.0,0.0,0.0,0.9910514541387024,0.9910514541387024,0.9910514541387024,0.49775280898876406,0.0,0.008948545861297539,0.5603837471783296,0.1341628941400122,Monde,447,4
0.9954954954954955,1.0,0.5,0.6666666666666666,0.9954954954954955,0.9954954954954955,0.9954954954954955,0.8321995464852607,0.6646525679758308,0.009009009009009009,1.0,1.0,MondeDiplo,222,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,Parisien,555,0
0.9951690821256038,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9951690821256038,0.9951690821256038,0.9951690821256038,0.8321167883211679,0.6642335766423357,0.007246376811594203,0.9991889699918897,0.9166666666666665,SZ,414,3
0.9926470588235294,1.0,0.625,0.7692307692307693,0.9926470588235294,0.9926470588235294,0.9926470588235294,0.8827473895967046,0.7656967840735069,0.0196078431372549,0.9940625,0.8386892712550607,Spiegel,408,8
0.9971014492753624,1.0,0.5,0.6666666666666666,0.9971014492753624,0.9971014492753624,0.9971014492753624,0.8326055312954876,0.6653734238603298,0.005797101449275362,0.5947521865889213,0.5035714285714286,Welt,345,2
0.9971264367816092,1.0,0.8,0.8888888888888888,0.9971264367816092,0.9971264367816092,0.9971264367816092,0.9437166424065987,0.88745148771022,0.014367816091954023,1.0,1.0,Zeit,348,5
