accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005208333333333333,1.0,1.0,Bild,384,2
0.9972677595628415,0.8888888888888888,1.0,0.9411764705882353,0.9972677595628415,0.9972677595628415,0.9972677595628415,0.969888934594817,0.9397828232971372,0.02185792349726776,1.0,1.0,FAZ,366,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019047619047619048,1.0,1.0,Figaro,525,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013605442176870748,1.0,1.0,Liberation,147,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007936507936507936,1.0,1.0,Mediapart,252,2
0.9953379953379954,0.875,0.875,0.875,0.9953379953379954,0.9953379953379954,0.9953379953379954,0.936312351543943,0.872624703087886,0.018648018648018648,0.9991092636579573,0.9526289682539683,Monde,429,8
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,MondeDiplo,210,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00392156862745098,1.0,1.0,Parisien,510,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007692307692307693,1.0,1.0,SZ,390,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025252525252525255,1.0,1.0,Spiegel,396,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010416666666666666,1.0,1.0,Welt,384,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028735632183908046,1.0,1.0,Zeit,348,1
