Outlet,Country,Krippendorff α (MASI),# Sentences,# Annotators
Bild,Germany,0.814,930,2
FAZ,Germany,0.84,950,2
Figaro,France,0.9501,866,2
Liberation,France,0.7372,226,2
Mediapart,France,0.6934,364,2
Monde,France,0.9369,853,2
MondeDiplo,France,0.6751,374,2
Parisien,France,0.9428,879,2
SZ,Germany,0.82,922,2
Spiegel,Germany,0.8259,906,2
Welt,Germany,0.8351,914,2
Zeit,Germany,0.8074,936,2
