accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail
0.9834254143646409,0.8656716417910447,0.7945205479452054,0.8285714285714286,0.9834254143646409,0.9834254143646409,0.9834254143646409,0.9099315778561061,0.8198799614383896,0.05041436464088398,0.9935840597758405,0.8943304632012835,athletes,1448,73
0.9930939226519337,0.9310344827586207,0.7714285714285715,0.84375,0.9930939226519337,0.9930939226519337,0.9930939226519337,0.9201094632768362,0.8402506564285872,0.024171270718232045,0.9956728338893944,0.9030688113692946,authors and artists,1448,35
0.9986187845303868,0.8666666666666667,1.0,0.9285714285714286,0.9986187845303868,0.9986187845303868,0.9986187845303868,0.9639370392508468,0.9278776709667779,0.008977900552486187,0.9998391852050389,0.9838264299802761,doctors,1448,13
0.9979281767955801,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.9477526670916373,0.8955065909746945,0.009668508287292817,0.9992528392109982,0.9262816548530834,farmers and fishermen,1448,14
0.9958563535911602,0.6,0.42857142857142855,0.5,0.9958563535911602,0.9958563535911602,0.9958563535911602,0.7489597780859917,0.49797758003004744,0.004834254143646409,0.995935362347576,0.5516061980347695,health and care professionals,1448,7
0.9986187845303868,0.875,0.875,0.875,0.9986187845303868,0.9986187845303868,0.9986187845303868,0.9371527777777777,0.8743055555555556,0.0055248618784530384,0.9999131944444445,0.9861111111111112,journalists,1448,8
0.994475138121547,0.6,0.6,0.6,0.994475138121547,0.994475138121547,0.994475138121547,0.7986091794158554,0.5972183588317107,0.006906077348066298,0.9125173852573019,0.5844043034617162,legal professionals,1448,10
0.9689226519337016,0.725,0.4603174603174603,0.5631067961165048,0.9689226519337016,0.9689226519337016,0.9689226519337016,0.7734975441377369,0.5478265696996614,0.04350828729281768,0.9116153802074379,0.6197195203955089,other professions,1448,63
0.9661602209944752,0.8823529411764706,0.933852140077821,0.9073724007561437,0.9661602209944752,0.9661602209944752,0.9661602209944752,0.943335545540725,0.8866914517138732,0.17748618784530387,0.9897022741900179,0.9391781276430871,politicians and high-ranking officials,1448,257
0.9951657458563536,0.8,0.75,0.7741935483870968,0.9951657458563536,0.9951657458563536,0.9951657458563536,0.8858751337048922,0.7717528373266078,0.011049723756906077,0.9515974162011174,0.8262464384931921,scientists and professors,1448,16
0.9910220994475138,0.8269230769230769,0.9148936170212766,0.8686868686868687,0.9910220994475138,0.9910220994475138,0.9910220994475138,0.9320195158593443,0.8640513057545643,0.0324585635359116,0.9891263079563231,0.9055660391629282,security forces,1448,47
0.9993093922651933,1.0,0.8,0.8888888888888888,0.9993093922651933,0.9993093922651933,0.9993093922651933,0.9442712542816456,0.8885467980295566,0.003453038674033149,1.0,1.0,sex workers,1448,5
0.9937845303867403,0.6875,0.7333333333333333,0.7096774193548387,0.9937845303867403,0.9937845303867403,0.9937845303867403,0.8532680290491471,0.7065393622770673,0.010359116022099447,0.997720400093045,0.8222466957993273,soldiers,1448,15
0.9951657458563536,0.6923076923076923,0.75,0.72,0.9951657458563536,0.9951657458563536,0.9951657458563536,0.858780912574016,0.7175657601426662,0.008287292817679558,0.987291086350975,0.7835454058358685,teachers and educators,1448,12
