accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail
0.9679292231130772,0.9077519379844962,0.911993769470405,0.9098679098679099,0.9679292231130772,0.9679292231130772,0.9679292231130772,0.9451811383877973,0.8903624056971454,0.1774951617362455,0.9868741982774419,0.9419720603514941,politicians and high-ranking officials,7234,1284
0.9977882222836605,0.90625,0.8529411764705882,0.8787878787878788,0.9977882222836605,0.9977882222836605,0.9977882222836605,0.9388359036796536,0.8776728416460223,0.009400055294442908,0.9843809000016418,0.9112710210037903,doctors,7234,68
0.9990323472491015,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.9990323472491015,0.9990323472491015,0.9990323472491015,0.9383536211982318,0.8767085932440263,0.0037323748963229196,0.9991726151015731,0.8545768690554658,sex workers,7234,27
0.9972352778545757,0.8840579710144928,0.8356164383561644,0.8591549295774648,0.9972352778545757,0.9972352778545757,0.9972352778545757,0.9288794332377063,0.8577599852136452,0.010091235830799005,0.9752043508119512,0.9021936304582375,farmers and fishermen,7234,73
0.9982029306054742,0.85,0.8292682926829268,0.8395061728395061,0.9982029306054742,0.9982029306054742,0.9982029306054742,0.9193012896587883,0.8386027178147644,0.005667680398119989,0.9683567696235839,0.8973835468271204,journalists,7234,41
0.9809234171965717,0.8189415041782729,0.8010899182561307,0.8099173553719008,0.9809234171965717,0.9809234171965717,0.9809234171965717,0.8999375744986414,0.7998764327803547,0.05073265136853746,0.9855213239959384,0.8718291797634083,athletes,7234,367
0.9875587503455903,0.8189655172413793,0.7983193277310925,0.8085106382978723,0.9875587503455903,0.9875587503455903,0.9875587503455903,0.90104057418537,0.8020822313582292,0.03290019353055018,0.9795963840081489,0.8490609568146854,security forces,7234,238
0.9943323196018801,0.7441860465116279,0.7710843373493976,0.757396449704142,0.9943323196018801,0.9943323196018801,0.9943323196018801,0.8772645581620927,0.7545300305395317,0.011473596903511197,0.9577496112263345,0.7713741966589897,scientists and professors,7234,83
0.9959911528891346,0.7894736842105263,0.7258064516129032,0.7563025210084033,0.9959911528891346,0.9959911528891346,0.9959911528891346,0.8771407371227813,0.7542850717633858,0.008570638650815593,0.9569810013853157,0.7709050443828064,teachers and educators,7234,62
0.9882499308819463,0.7751479289940828,0.7359550561797753,0.7550432276657061,0.9882499308819463,0.9882499308819463,0.9882499308819463,0.8745119119703787,0.7490279726730322,0.024606027094277026,0.9904018255242172,0.7823046243110215,authors and artists,7234,178
0.9944705557091512,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.9944705557091512,0.9944705557091512,0.9944705557091512,0.8687326366521559,0.737465273304312,0.010644180259883881,0.9912790855923452,0.7409469567285651,soldiers,7234,77
0.9961293889964059,0.6981132075471698,0.7551020408163265,0.7254901960784313,0.9961293889964059,0.9961293889964059,0.9961293889964059,0.8617705748594857,0.7235441683477235,0.006773569256289743,0.9488276312612728,0.6487952351462598,legal professionals,7234,49
0.9677909870058059,0.6810344827586207,0.49842271293375395,0.575591985428051,0.9677909870058059,0.9677909870058059,0.9677909870058059,0.779426138557836,0.559268984394325,0.0438208460049765,0.9284369557196667,0.5925271766082797,other professions,7234,317
0.9964058612109483,0.6538461538461539,0.5,0.5666666666666667,0.9964058612109483,0.9964058612109483,0.9964058612109483,0.782431056820285,0.56489432579487,0.004700027647221454,0.9443423202614378,0.46305827757199586,health and care professionals,7234,34
