year,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
1997.0,252,5,0.9682539682539683,0.38461538461538464,1.0,0.5555555555555556,0.9967611336032388,0.81,0.38461538461538464,1.0,0.5555555555555556,0.8333333333333334,1.0,0.9090909090909091
2014.0,630,19,0.9698412698412698,0.5,0.9473684210526315,0.6545454545454545,0.9945731759841503,0.7898525949466964,0.5454545454545454,0.9473684210526315,0.6923076923076923,0.8095238095238095,0.8947368421052632,0.85
2017.0,2422,61,0.9756399669694468,0.5084745762711864,0.9836065573770492,0.6703910614525139,0.9953826178126802,0.8135048207402331,0.5462962962962963,0.9672131147540983,0.6982248520710059,0.7368421052631579,0.9180327868852459,0.8175182481751825
1999.0,1190,36,0.973109243697479,0.5294117647058824,1.0,0.6923076923076923,0.9955709609089158,0.8294253829724908,0.5625,1.0,0.72,0.6730769230769231,0.9722222222222222,0.7954545454545454
2012.0,476,12,0.9747899159663865,0.5,0.9166666666666666,0.6470588235294118,0.9678520114942528,0.841098484848485,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.8181818181818182,0.75,0.782608695652174
2018.0,2478,78,0.9673123486682809,0.49044585987261147,0.9871794871794872,0.6553191489361702,0.9915758547008547,0.8303088979586699,0.5202702702702703,0.9871794871794872,0.6814159292035398,0.6831683168316832,0.8846153846153846,0.770949720670391
2016.0,4340,112,0.9748847926267281,0.507177033492823,0.9464285714285714,0.660436137071651,0.9870041559670226,0.7994482891867053,0.5384615384615384,0.9375,0.6840390879478827,0.7131782945736435,0.8214285714285714,0.7634854771784232
2010.0,560,13,0.9821428571428571,0.5652173913043478,1.0,0.7222222222222222,0.9964843200675011,0.8577212882642746,0.6190476190476191,1.0,0.7647058823529411,0.6875,0.8461538461538461,0.7586206896551724
2015.0,2856,79,0.9702380952380952,0.4807692307692308,0.9493670886075949,0.6382978723404256,0.9880847650000228,0.7585224244368889,0.5447761194029851,0.9240506329113924,0.6854460093896714,0.6875,0.8354430379746836,0.7542857142857143
1998.0,1330,41,0.9721804511278196,0.5256410256410257,1.0,0.6890756302521008,0.9940585441540994,0.7349005095272941,0.5616438356164384,1.0,0.7192982456140351,0.6428571428571429,0.8780487804878049,0.7422680412371134
