accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.7647058823529411,0.8888888888888888,0.42105263157894735,0.5714285714285714,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7046332046332047,0.43646408839779005,0.37254901960784315,0.7960526315789473,0.8115819590189688,1990.0,51,19
0.797979797979798,0.8571428571428571,0.6,0.7058823529411765,0.797979797979798,0.797979797979798,0.797979797979798,0.7760180995475113,0.5592163846838825,0.40404040404040403,0.9046610169491525,0.8921947602813215,2000.0,99,40
0.8974358974358975,1.0,0.7333333333333333,0.8461538461538461,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8846153846153846,0.7719298245614035,0.38461538461538464,0.8750000000000001,0.9024682919419762,2010.0,39,15
0.7738095238095238,0.8947368421052632,0.5,0.6415094339622641,0.7738095238095238,0.7738095238095238,0.7738095238095238,0.7381460213289581,0.49493670886075947,0.40476190476190477,0.7805882352941176,0.7854889916267264,2020.0,84,34
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,0.5555555555555555,0.4583333333333333,,9,3
