accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.9923980649619903,0.8484848484848485,0.8235294117647058,0.835820895522388,0.9923980649619903,0.9923980649619903,0.9923980649619903,0.9159649224693652,0.8319307322739031,0.0234968901174844,0.9844719204029808,0.891553939080812,"capital owners, investors and shareholders",1447,34,0
0.9944713199723566,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9944713199723566,0.9944713199723566,0.9944713199723566,0.7763869571936332,0.55308470388387,0.0082930200414651,0.983739837398374,0.6692719473070193,lower class,1447,12,0
0.9993089149965446,1.0,0.8,0.8888888888888888,0.9993089149965446,0.9993089149965446,0.9993089149965446,0.9442711342191412,0.8885465608873142,0.0034554250172771,0.9743411927877949,0.8052631578947369,middle class,1447,5,0
0.9944713199723566,0.0,0.0,0.0,0.9944713199723566,0.9944713199723566,0.9944713199723566,0.4986139986139986,0.0,0.0055286800276434,0.6130993745656707,0.3142067412635832,skilled or qualified,1447,8,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0034554250172771,1.0,1.0,unskilled or unqualified,1447,5,0
0.9965445749827228,1.0,0.2857142857142857,0.4444444444444444,0.9965445749827228,0.9965445749827228,0.9965445749827228,0.7213556710957058,0.4432474028472489,0.0048375950241879,0.8007936507936507,0.5869202147593053,upper class,1447,7,0
0.9965421853388658,0.9375,0.9090909090909092,0.9230769230769232,0.9965421853388658,0.9965421853388658,0.9965421853388658,0.9606541318603576,0.9213086919610788,0.0228215767634854,0.9692894979519184,0.9516804256474636,"capital owners, investors and shareholders",1446,33,1
0.9930843706777316,0.6,0.5,0.5454545454545454,0.9930843706777316,0.9930843706777316,0.9930843706777316,0.7709851124485271,0.5419992398327632,0.0082987551867219,0.9299744304974432,0.5428484518395431,lower class,1446,12,1
0.9979253112033196,0.75,0.6,0.6666666666666666,0.9979253112033196,0.9979253112033196,0.9979253112033196,0.8328130419701699,0.6656389702481886,0.0034578146611341,0.8549618320610686,0.673686045498126,middle class,1446,5,1
0.9986168741355465,1.0,0.7142857142857143,0.8333333333333334,0.9986168741355465,0.9986168741355465,0.9986168741355465,0.9163194444444444,0.8326582571461636,0.0048409405255878,0.9965253648366922,0.8464285714285713,skilled or qualified,1446,7,1
0.9993084370677732,1.0,0.8,0.8888888888888888,0.9993084370677732,0.9993084370677732,0.9993084370677732,0.9442710139900566,0.8885463234160629,0.0034578146611341,0.9991672449687716,0.8909090909090909,unskilled or unqualified,1446,5,1
0.9937759336099584,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.9937759336099584,0.9937759336099584,0.9937759336099584,0.6522831111229861,0.3045848028214171,0.0041493775933609,0.9967592592592592,0.6012205387205387,upper class,1446,6,1
0.9937845303867404,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.9937845303867404,0.9937845303867404,0.9937845303867404,0.9312451528149286,0.8624910311062339,0.0227900552486187,0.9459042724060392,0.8992262352003608,"capital owners, investors and shareholders",1448,33,2
0.994475138121547,1.0,0.2727272727272727,0.4285714285714285,0.994475138121547,0.994475138121547,0.994475138121547,0.7128977892336671,0.426704939126992,0.0075966850828729,0.9572973998861264,0.385167773941489,lower class,1448,11,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0034530386740331,1.0,1.0,middle class,1448,5,2
