accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9975845410628019,0.5,0.5,0.5,0.9975845410628019,0.9975845410628019,0.9975845410628019,0.7493946731234866,0.49878934624697335,0.0024154589371980675,0.6749394673123487,0.5018552875695733,Bild,828,2
0.9975308641975309,0.875,0.875,0.875,0.9975308641975309,0.9975308641975309,0.9975308641975309,0.9368765586034913,0.8737531172069826,0.009876543209876543,0.9911159600997506,0.8368135560675883,FAZ,810,8
0.9935897435897436,1.0,0.5384615384615384,0.7,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.8483801295896328,0.697054698457223,0.013888888888888888,0.9938328194016168,0.8398469455073228,Figaro,936,13
0.9973118279569892,1.0,0.75,0.8571428571428571,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.9278930025198682,0.8558139534883721,0.010752688172043012,0.9463315217391305,0.7620481927710843,Liberation,372,4
0.9978070175438597,1.0,0.6666666666666666,0.8,0.9978070175438597,0.9978070175438597,0.9978070175438597,0.8994487320837927,0.798941798941799,0.006578947368421052,0.9992641648270788,0.9166666666666665,Mediapart,456,3
0.9975124378109452,1.0,0.7142857142857143,0.8333333333333334,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9160401002506267,0.8321152641470035,0.008706467661691543,0.9026707295214196,0.8589610389610388,Monde,804,7
0.9912280701754386,1.0,0.6,0.75,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.8727678571428572,0.745819397993311,0.021929824561403508,0.9955156950672646,0.8841528640441685,MondeDiplo,456,10
0.9973404255319149,0.0,0.0,0.0,0.9973404255319149,0.9973404255319149,0.9973404255319149,0.4993342210386152,0.0,0.0026595744680851063,0.4758518518518518,0.3352173093344867,Parisien,1128,3
0.9942129629629629,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.9942129629629629,0.9942129629629629,0.9942129629629629,0.8062345817447858,0.6124865446716901,0.008101851851851851,0.9529921653608935,0.6459693758926495,SZ,864,7
0.9986338797814208,1.0,0.8,0.8888888888888888,0.9986338797814208,0.9986338797814208,0.9986338797814208,0.9441008018327606,0.8882101405009163,0.006830601092896175,0.9048143053645117,0.8028490028490028,Spiegel,732,5
0.9916666666666667,0.6,0.5,0.5454545454545454,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.7706246654943039,0.5412844036697249,0.01,0.9090909090909092,0.6663490185769365,Welt,600,6
0.9985632183908046,1.0,0.6666666666666666,0.8,0.9985632183908046,0.9985632183908046,0.9985632183908046,0.8996395097332373,0.7993079584775087,0.004310344827586207,0.9995189995189995,0.9166666666666665,Zeit,696,3
