year,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
2017.0,1038,18,0.9682080924855492,0.3404255319148936,0.8888888888888888,0.49230769230769234,0.9442265795206972,0.5637772842640272,0.5,0.5,0.5,0.6,0.8333333333333334,0.6976744186046512
1996.0,120,4,0.95,0.4,1.0,0.5714285714285714,0.9892241379310345,0.7470238095238095,0.75,0.75,0.75,0.6,0.75,0.6666666666666666
2008.0,3576,37,0.9720357941834452,0.2631578947368421,0.9459459459459459,0.4117647058823529,0.9669169027744896,0.4834305983381068,0.44,0.5945945945945946,0.5057471264367817,0.4520547945205479,0.8918918918918919,0.6
2012.0,204,2,0.946078431372549,0.15384615384615385,1.0,0.26666666666666666,0.9826732673267327,0.6111111111111112,0.25,0.5,0.3333333333333333,0.4,1.0,0.5714285714285714
2002.0,4578,40,0.9753167321974662,0.25170068027210885,0.925,0.39572192513368987,0.9667750110180696,0.41793405825019064,0.43137254901960786,0.55,0.4835164835164835,0.39473684210526316,0.75,0.5172413793103449
2006.0,138,5,0.9637681159420289,0.5,1.0,0.6666666666666666,0.9969924812030074,0.9266666666666665,1.0,0.4,0.5714285714285714,0.6666666666666666,0.4,0.5
2003.0,192,2,0.9895833333333334,0.5,1.0,0.6666666666666666,0.9947368421052631,0.75,0.5,0.5,0.5,0.5,0.5,0.5
2014.0,270,2,0.9814814814814815,0.2,0.5,0.2857142857142857,0.708955223880597,0.17307692307692307,0.0,0.0,0.0,0.5,0.5,0.5
1995.0,7302,58,0.9732949876746096,0.2248995983935743,0.9655172413793104,0.36482084690553745,0.9769321578857175,0.2998522098744828,0.28,0.4827586206896552,0.35443037974683544,0.3533834586466165,0.8103448275862069,0.49214659685863876
2016.0,1860,18,0.9741935483870968,0.2727272727272727,1.0,0.42857142857142855,0.9910725057304862,0.384382956300781,0.36363636363636365,0.4444444444444444,0.4,0.34285714285714286,0.6666666666666666,0.4528301886792453
2021.0,3984,42,0.9598393574297188,0.20202020202020202,0.9523809523809523,0.3333333333333333,0.9582759537097436,0.2961357783535835,0.3176470588235294,0.6428571428571429,0.4251968503937008,0.30434782608695654,0.8333333333333334,0.445859872611465
1998.0,570,6,0.9614035087719298,0.19230769230769232,0.8333333333333334,0.3125,0.866725768321513,0.42818326226904113,0.3125,0.8333333333333334,0.45454545454545453,0.29411764705882354,0.8333333333333334,0.43478260869565216
2018.0,1062,5,0.980225988700565,0.19230769230769232,1.0,0.3225806451612903,0.9916745506149479,0.24869047619047618,0.18181818181818182,0.4,0.25,0.2777777777777778,1.0,0.43478260869565216
2004.0,144,1,0.9375,0.1,1.0,0.18181818181818182,1.0,1.0,0.5,1.0,0.6666666666666666,0.25,1.0,0.4
2020.0,420,3,0.9547619047619048,0.13636363636363635,1.0,0.24,0.9832134292565947,0.24027777777777776,0.2,0.6666666666666666,0.3076923076923077,0.25,1.0,0.4
2007.0,318,5,0.9528301886792453,0.2222222222222222,0.8,0.34782608695652173,0.9559105431309904,0.23237179487179488,0.0,0.0,0.0,0.3333333333333333,0.4,0.36363636363636365
2023.0,4044,29,0.9735410484668645,0.18548387096774194,0.7931034482758621,0.3006535947712418,0.9437883797827115,0.23553536539189085,0.21739130434782608,0.3448275862068966,0.26666666666666666,0.2537313432835821,0.5862068965517241,0.3541666666666667
2001.0,552,3,0.9728260869565217,0.125,0.6666666666666666,0.21052631578947367,0.7510625379477839,0.2524630541871921,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.3333333333333333
