accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,fold,best_ckpt
0.974775397373877,0.22992700729927007,0.8873239436619719,0.3652173913043478,0.974775397373877,0.974775397373877,0.974775397373877,0.6761747101066071,0.3568632199763089,0.008177839207555862,0.9546035941581437,0.5312619094627168,0,/content/drive/MyDrive/Media_Deservingness_Paper/cross_validation_v2/Socio-Economic Position/cv_models/fold_0/checkpoint-204
0.9641539880129092,0.16893732970027248,0.9117647058823529,0.2850574712643678,0.9641539880129092,0.9641539880129092,0.9641539880129092,0.6333367985274964,0.2754756255659012,0.007837713231904103,0.9727288568773235,0.3783289817868033,1,/content/drive/MyDrive/Media_Deservingness_Paper/cross_validation_v2/Socio-Economic Position/cv_models/fold_1/checkpoint-102
0.9745626151012892,0.21481481481481482,0.8656716417910447,0.34421364985163205,0.9745626151012892,0.9745626151012892,0.9745626151012892,0.6656217025594799,0.336008598473688,0.007711786372007367,0.9627497589191267,0.33856871445884523,2,/content/drive/MyDrive/Media_Deservingness_Paper/cross_validation_v2/Socio-Economic Position/cv_models/fold_2/checkpoint-153
0.9713199723565998,0.20454545454545456,0.9402985074626866,0.336,0.9713199723565998,0.9713199723565998,0.9713199723565998,0.6606717287656719,0.32747463196201687,0.007717115871918913,0.9690855068823034,0.23318322886399204,3,/content/drive/MyDrive/Media_Deservingness_Paper/cross_validation_v2/Socio-Economic Position/cv_models/fold_3/checkpoint-102
0.9746426924850161,0.21897810218978103,0.9090909090909091,0.35294117647058826,0.9746426924850161,0.9746426924850161,0.9746426924850161,0.6700045642522233,0.34490910438786526,0.007607192254495159,0.97321472565375,0.30915944287192226,4,/content/drive/MyDrive/Media_Deservingness_Paper/cross_validation_v2/Socio-Economic Position/cv_models/fold_4/checkpoint-208
