accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.0,1.0,1.0,Bild,12,2
0.8611111111111112,0.6,0.5,0.5454545454545454,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7317436661698957,0.4642857142857143,0.9611111111111111,0.8134920634920634,FAZ,36,6
0.9722222222222222,1.0,0.8333333333333334,0.9090909090909091,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9463487332339791,0.8928571428571429,1.0,1.0,Figaro,36,6
0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.0,0.9500000000000001,0.8333333333333333,Liberation,12,2
0.9666666666666667,1.0,0.8,0.8888888888888888,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.934640522875817,0.8695652173913043,0.976,0.925,Mediapart,30,5
0.9545454545454546,1.0,0.7272727272727273,0.8421052631578947,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9077782952957615,0.8163265306122449,0.9504132231404958,0.9258264462809918,Monde,66,11
0.875,1.0,0.4,0.5714285714285714,0.875,0.875,0.875,0.7491289198606272,0.5135135135135135,0.9578947368421052,0.9111111111111111,MondeDiplo,24,5
0.8888888888888888,1.0,0.3333333333333333,0.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.71875,0.4545454545454546,0.711111111111111,0.7291666666666666,Parisien,18,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SZ,36,6
0.9444444444444444,1.0,0.6666666666666666,0.8,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8838709677419355,0.7692307692307692,0.9604938271604938,0.870436507936508,Spiegel,54,9
0.9333333333333333,1.0,0.6,0.75,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8557692307692308,0.7142857142857143,0.9120000000000001,0.8625,Welt,30,5
0.9722222222222222,1.0,0.8333333333333334,0.9090909090909091,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9463487332339791,0.8928571428571429,0.961111111111111,0.9102564102564102,Zeit,36,6
