broad_class,status,model,n,hits,recall,ci_low,ci_high
socio_economic_position,seen,LLM,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878
socio_economic_position,seen,Dictionary,30,18,0.6,0.42320052498273836,0.7540960567391659
socio_economic_position,partial,SOCCAT,29,24,0.8275862068965517,0.6545119942718488,0.9240225472852007
socio_economic_position,partial,LLM,29,25,0.8620689655172413,0.6944064228730067,0.9450264914795217
socio_economic_position,partial,Dictionary,29,10,0.3448275862068966,0.19940508749190483,0.5265522349284402
socio_economic_position,unseen,SOCCAT,9,0,0.0,0.0,0.2991527535509594
socio_economic_position,unseen,LLM,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086
socio_economic_position,unseen,Dictionary,9,0,0.0,0.0,0.2991527535509594
Total,all,SOCCAT,1507,1188,0.7883211678832117,0.76697645264705,0.808199661116299
Total,all,LLM,1507,1172,0.7777040477770405,0.7560198535171047,0.797976012098457
Total,all,Dictionary,1507,811,0.5381552753815527,0.5129190479848204,0.5631974687962903
Total,seen,SOCCAT,859,769,0.8952270081490105,0.8729563952669418,0.9139783097820496
Total,seen,LLM,859,706,0.8218859138533178,0.7948829156095103,0.8460226689149262
Total,seen,Dictionary,859,582,0.6775320139697323,0.6455427742368587,0.7079404143344852
Total,partial,SOCCAT,499,372,0.7454909819639278,0.7054966548823542,0.781734314074868
Total,partial,LLM,499,374,0.749498997995992,0.7096718544541487,0.7855139058329874
Total,partial,Dictionary,499,209,0.4188376753507014,0.3763299721669888,0.462585503402256
Total,unseen,SOCCAT,126,30,0.23809523809523808,0.1721741635445131,0.31951417054872056
Total,unseen,LLM,126,77,0.6111111111111112,0.5239056154167172,0.6917417579982748
Total,unseen,Dictionary,126,10,0.07936507936507936,0.043678399818189974,0.13994225796791251
