accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,year,n_pairs,n_pos_entail
0.993481803367735,0.7083333333333334,0.7727272727272727,0.7391304347826086,0.993481803367735,0.993481803367735,0.993481803367735,0.8679150523748027,0.7358364223364822,0.011950027159152634,0.9970013493927733,0.7403078874722899,1995.0,1841,22
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,1.0,1.0,1996.0,21,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1997.0,14,0
0.9835164835164835,0.875,0.7777777777777778,0.8235294117647058,0.9835164835164835,0.9835164835164835,0.9835164835164835,0.9074419393117477,0.8149152542372882,0.04945054945054945,0.9987154784842646,0.9765432098765434,1998.0,182,9
0.9910714285714286,0.6666666666666666,1.0,0.8,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.897716894977169,0.7956204379562044,0.017857142857142856,1.0,1.0,1999.0,112,2
0.9883973894126178,0.8392857142857143,0.8703703703703703,0.8545454545454545,0.9883973894126178,0.9883973894126178,0.9883973894126178,0.9242515792364735,0.8485052388734019,0.03915881073241479,0.9926345213137666,0.8758525242781515,2000.0,1379,54
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2001.0,98,0
0.9944196428571429,0.85,0.8947368421052632,0.8717948717948718,0.9944196428571429,0.9944196428571429,0.9944196428571429,0.9344713092573902,0.8689445354551837,0.021205357142857144,0.9967592870431495,0.8876983379549777,2002.0,896,19
0.9795918367346939,0.75,1.0,0.8571428571428571,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9230769230769231,0.8463949843260188,0.061224489795918366,1.0,1.0,2003.0,49,3
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2004.0,28,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2005.0,49,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2006.0,14,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02040816326530612,1.0,1.0,2007.0,49,1
0.9924146649810367,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.9924146649810367,0.9924146649810367,0.9924146649810367,0.890926640926641,0.7818733339461348,0.01643489254108723,0.9847735811746093,0.8511220805338451,2008.0,791,13
0.961038961038961,0.5,0.3333333333333333,0.4,0.961038961038961,0.961038961038961,0.961038961038961,0.6899328859060403,0.38069705093833783,0.03896103896103896,0.9774774774774775,0.6666666666666667,2009.0,77,3
0.9682539682539683,0.0,0.0,0.0,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.49193548387096775,0.0,0.0,,0.0,2010.0,63,0
0.987012987012987,0.5,1.0,0.6666666666666666,0.987012987012987,0.987012987012987,0.987012987012987,0.8300220750551877,0.6607929515418502,0.012987012987012988,1.0,1.0,2011.0,77,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2012.0,35,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2013.0,56,0
0.9841269841269841,0.5,1.0,0.6666666666666666,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.8292682926829268,0.6594594594594594,0.015873015873015872,1.0,1.0,2014.0,63,1
0.9727891156462585,0.6,0.6,0.6,0.9727891156462585,0.9727891156462585,0.9727891156462585,0.7929577464788733,0.5859154929577464,0.034013605442176874,0.972887323943662,0.7822800487184047,2015.0,294,10
0.9887218045112782,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.9887218045112782,0.9887218045112782,0.9887218045112782,0.88172521120498,0.76345042240996,0.02443609022556391,0.9943678672002372,0.7617517574114381,2016.0,532,13
0.9945054945054945,0.0,0.0,0.0,0.9945054945054945,0.9945054945054945,0.9945054945054945,0.4986225895316804,0.0,0.0,,0.0,2017.0,182,0
0.9956709956709957,0.8,1.0,0.8888888888888888,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9433406916850625,0.8867091711623345,0.017316017316017316,1.0,1.0,2018.0,231,4
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2019.0,77,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2020.0,112,0
0.9945887445887446,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.9945887445887446,0.9945887445887446,0.9945887445887446,0.8063299098721441,0.6126760563380281,0.007575757575757576,0.9601183985044399,0.7312872023809522,2021.0,924,7
0.9943757030371203,0.7894736842105263,0.9375,0.8571428571428571,0.9943757030371203,0.9943757030371203,0.9943757030371203,0.9271371199082042,0.854295735404989,0.01799775028121485,0.9914805269186713,0.892150072975036,2022.0,889,16
0.9959758551307847,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9959758551307847,0.9959758551307847,0.9959758551307847,0.9156483367277665,0.8312966734555329,0.012072434607645875,0.9990665308893415,0.9371794871794873,2023.0,994,12
