hypothesis_label,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned,avg_threshold,best_method,precision_best,recall_best,f1_best
parents and families,7234,190,0.9763616256566215,0.5273775216138329,0.9631578947368421,0.6815642458100558,0.9874241609133566,0.6570901532318223,0.5531914893617021,0.9578947368421052,0.7013487475915221,0.644,0.8473684210526315,0.7318181818181818,0.9913639714210672,threshold_tuned,0.644,0.8473684210526315,0.7318181818181818
"youth, including students and apprentices",7234,310,0.9630909593585845,0.5380530973451327,0.9806451612903225,0.6948571428571428,0.9851169844020797,0.729816617732878,0.5744274809160306,0.9709677419354839,0.7218225419664268,0.6410256410256411,0.8064516129032258,0.7142857142857143,0.9904003759330938,threshold_tuned,0.6410256410256411,0.8064516129032258,0.7142857142857143
"minors, including children and pupils",7234,349,0.9517555985623445,0.5,0.9770773638968482,0.6614936954413191,0.9791890097862344,0.720071129769172,0.5256609642301711,0.9684813753581661,0.6814516129032258,0.6153846153846154,0.8481375358166189,0.7132530120481928,0.991204184058612,threshold_tuned,0.6153846153846154,0.8481375358166189,0.7132530120481928
singles,7234,27,0.9939176112800664,0.36923076923076925,0.8888888888888888,0.5217391304347826,0.9978441741311173,0.6428176461261592,0.41379310344827586,0.8888888888888888,0.5647058823529412,0.5789473684210527,0.8148148148148148,0.676923076923077,0.991156412468897,threshold_tuned,0.5789473684210527,0.8148148148148148,0.676923076923077
couples,7234,36,0.993088194636439,0.4166666666666667,0.9722222222222222,0.5833333333333334,0.9966406563551604,0.6576334648789629,0.5,0.9722222222222222,0.660377358490566,0.5686274509803921,0.8055555555555556,0.6666666666666666,0.9883866381116948,threshold_tuned,0.5686274509803921,0.8055555555555556,0.6666666666666666
elderly,7234,35,0.9845175559856234,0.22302158273381295,0.8857142857142857,0.3563218390804598,0.9648482924215664,0.29688410063611875,0.24786324786324787,0.8285714285714286,0.3815789473684211,0.3058823529411765,0.7428571428571429,0.43333333333333335,0.9912707110312414,threshold_tuned,0.3058823529411765,0.7428571428571429,0.43333333333333335
middle-aged and pre-retirement age groups,7234,19,0.993088194636439,0.23728813559322035,0.7368421052631579,0.358974358974359,0.9689389794652952,0.3348249842717492,0.34285714285714286,0.631578947368421,0.4444444444444444,0.32432432432432434,0.631578947368421,0.42857142857142855,0.9574480656704452,threshold_tuned,0.32432432432432434,0.631578947368421,0.42857142857142855
