year,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
2012.0,238,4,0.9831932773109243,0.5,1.0,0.6666666666666666,1.0,1.0,0.5714285714285714,1.0,0.7272727272727273,1.0,1.0,1.0
2006.0,161,3,0.9875776397515528,0.6,1.0,0.75,0.9978902953586497,0.9166666666666665,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571
2004.0,168,10,0.9642857142857143,0.6666666666666666,0.8,0.7272727272727273,0.9848101265822785,0.7356489262371616,0.8,0.8,0.8,0.8,0.8,0.8
2000.0,6412,238,0.9719276356830941,0.571078431372549,0.9789915966386554,0.7213622291021672,0.9866239012611847,0.7974714904533947,0.6209677419354839,0.9705882352941176,0.7573770491803279,0.7086330935251799,0.8277310924369747,0.7635658914728682
2011.0,245,4,0.9877551020408163,0.5714285714285714,1.0,0.7272727272727273,0.995850622406639,0.7708333333333333,0.5714285714285714,1.0,0.7272727272727273,0.75,0.75,0.75
2007.0,371,10,0.9568733153638814,0.375,0.9,0.5294117647058824,0.984764542936288,0.5141455766455767,0.45,0.9,0.6,0.6428571428571429,0.9,0.75
2008.0,4172,97,0.9801054650047939,0.5402298850574713,0.9690721649484536,0.6937269372693727,0.993415976219088,0.7114940616910036,0.5849056603773585,0.9587628865979382,0.7265625,0.6964285714285714,0.8041237113402062,0.7464114832535885
2001.0,644,11,0.984472049689441,0.5238095238095238,1.0,0.6875,0.994829814735028,0.7229222797404616,0.5238095238095238,1.0,0.6875,0.625,0.9090909090909091,0.7407407407407407
2022.0,4998,80,0.986594637855142,0.5454545454545454,0.975,0.6995515695067265,0.9835044733631557,0.765877505182314,0.5693430656934306,0.975,0.7188940092165899,0.6272727272727273,0.8625,0.7263157894736842
2015.0,1428,35,0.9726890756302521,0.4714285714285714,0.9428571428571428,0.6285714285714286,0.9906266023997539,0.6802407922530134,0.5238095238095238,0.9428571428571428,0.673469387755102,0.5714285714285714,0.9142857142857143,0.7032967032967034
2002.0,5341,115,0.9784684516008239,0.5,0.9826086956521739,0.6627565982404692,0.9868974525366477,0.7151082048646065,0.5336538461538461,0.9652173913043478,0.6873065015479877,0.6103896103896104,0.8173913043478261,0.6988847583643123
2020.0,490,13,0.9693877551020408,0.4583333333333333,0.8461538461538461,0.5945945945945946,0.986131269150137,0.7103034504856367,0.4782608695652174,0.8461538461538461,0.6111111111111112,0.625,0.7692307692307693,0.6896551724137931
2017.0,1211,13,0.9843104872006606,0.40625,1.0,0.5777777777777777,0.9946063952741749,0.4994780820513137,0.43333333333333335,1.0,0.6046511627906976,0.5454545454545454,0.9230769230769231,0.6857142857142857
1999.0,595,15,0.9663865546218487,0.42424242424242425,0.9333333333333333,0.5833333333333334,0.993448275862069,0.767988188282306,0.4375,0.9333333333333333,0.5957446808510638,0.5416666666666666,0.8666666666666667,0.6666666666666666
