accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail
0.9972356599861782,0.6363636363636364,1.0,0.7777777777777778,0.9972356599861782,0.9972356599861782,0.9972356599861782,0.8881934785968166,0.7764560482002163,0.0048375950241879755,0.9996031746031746,0.9093537414965986,couples,1447,7
0.9944713199723566,0.4,0.2857142857142857,0.3333333333333333,0.9944713199723566,0.9944713199723566,0.9944713199723566,0.6652787416146194,0.33063490227824677,0.0048375950241879755,0.9790674603174604,0.4650752740958926,elderly,1447,7
0.9972356599861782,0.5,0.25,0.3333333333333333,0.9972356599861782,0.9972356599861782,0.9972356599861782,0.6659741458910434,0.33210246942072463,0.0027643400138217,0.9918572418572419,0.5629432624113475,middle-aged and pre-retirement age groups,1447,4
0.986869384934347,0.8493150684931506,0.8857142857142857,0.8671328671328671,0.986869384934347,0.986869384934347,0.986869384934347,0.9301131438536019,0.8602294853610302,0.04837595024187975,0.9958916900093371,0.8720781119170837,"minors, including children and pupils",1447,70
0.9903248099516241,0.7857142857142857,0.868421052631579,0.825,0.9903248099516241,0.9903248099516241,0.9903248099516241,0.9100124378109453,0.8200376661218108,0.02626123013130615,0.9952373837361324,0.8757381711909544,parents and families,1447,38
0.9993089149965446,0.8333333333333334,1.0,0.9090909090909091,0.9993089149965446,0.9993089149965446,0.9993089149965446,0.9543720240910667,0.9087469256479788,0.0034554250172771253,0.9998613037447989,0.9666666666666666,singles,1447,5
0.9861782999308915,0.828125,0.8548387096774194,0.8412698412698413,0.9861782999308915,0.9861782999308915,0.9861782999308915,0.9170222038719149,0.8340463110570803,0.04284727021423635,0.9965762198672412,0.9184135465146925,"youth, including students and apprentices",1447,62
