model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
identities,3,men,0.962732919,0.956521739,0.814814815,0.88,0.962732919,0.962732919,0.962732919,0.928970588,0.858108108,0.167701863,0.945826423,0.907048376,161,27
identities,3,multiple (or other specific) religious or minority groups,0.98136646,0,0,0,0.98136646,0.98136646,0.98136646,0.495297806,0,0.01863354,0.744725738,0.053172115,161,3
identities,3,muslims,0.98757764,0.857142857,0.857142857,0.857142857,0.98757764,0.98757764,0.98757764,0.925324675,0.850649351,0.043478261,0.950834879,0.853683846,161,7
identities,3,"people with an immigration background, including immigrants",0.919254658,0.942857143,0.75,0.835443038,0.919254658,0.919254658,0.919254658,0.890972548,0.782861293,0.273291925,0.897047397,0.898226635,161,44
identities,3,women,0.962732919,0.983606557,0.923076923,0.952380952,0.962732919,0.962732919,0.962732919,0.960884354,0.921819359,0.403726708,0.990544872,0.988891249,161,65
identities,4,Ethnic and racial minorities,0.987261146,1,0.333333333,0.5,0.987261146,0.987261146,0.987261146,0.746774194,0.495176849,0.01910828,0.997835498,0.916666667,157,3
identities,4,christians,0.961783439,0.6,0.428571429,0.5,0.961783439,0.961783439,0.961783439,0.740066225,0.480705623,0.044585987,0.933333333,0.662607416,157,7
identities,4,cisgender and heterosexuals,0.987261146,0.6,1,0.75,0.987261146,0.987261146,0.987261146,0.871732026,0.743882545,0.01910828,0.997835498,0.916666667,157,3
identities,4,disabled people,0.993630573,0.857142857,1,0.923076923,0.993630573,0.993630573,0.993630573,0.959877332,0.919775166,0.038216561,0.998896247,0.976190476,157,6
identities,4,jews,0.98089172,1,0.5,0.666666667,0.98089172,0.98089172,0.98089172,0.828415301,0.65795207,0.038216561,0.759381898,0.54487038,157,6
identities,4,lgbtqqia+,0.987261146,0.928571429,0.928571429,0.928571429,0.987261146,0.987261146,0.987261146,0.960789211,0.921578422,0.089171975,0.998001998,0.984126984,157,14
identities,4,men,0.961783439,0.956521739,0.814814815,0.88,0.961783439,0.961783439,0.961783439,0.928636364,0.857445521,0.171974522,0.991168091,0.966635636,157,27
identities,4,multiple (or other specific) religious or minority groups,0.993630573,1,0.5,0.666666667,0.993630573,0.993630573,0.993630573,0.831725616,0.663811563,0.012738854,0.974193548,0.6,157,2
identities,4,muslims,0.993630573,1,0.833333333,0.909090909,0.993630573,0.993630573,0.993630573,0.95289529,0.905818836,0.038216561,0.981236203,0.876811594,157,6
identities,4,"people with an immigration background, including immigrants",0.974522293,1,0.909090909,0.952380952,0.974522293,0.974522293,0.974522293,0.967494824,0.935043442,0.280254777,0.996379726,0.991722468,157,44
identities,4,women,0.917197452,0.981481481,0.815384615,0.890756303,0.917197452,0.917197452,0.917197452,0.912044818,0.825002144,0.414012739,0.989130435,0.986339063,157,65
