accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.7037037037037037,1.0,0.2,0.3333333333333333,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.5714285714285714,0.23943661971830987,0.37037037037037035,0.8882352941176471,0.9034782608695652,Bild,27,10
0.8166666666666667,0.9444444444444444,0.6296296296296297,0.7555555555555555,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8044444444444445,0.6180555555555556,0.45,0.888888888888889,0.9101541782611833,FAZ,60,27
0.9,1.0,0.7,0.8235294117647058,0.9,0.9,0.9,0.8768809849521204,0.7567567567567568,0.3333333333333333,0.8800000000000001,0.8728229665071771,Figaro,30,10
0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3999999999999999,0.6666666666666666,1.0,1.0,Liberation,3,2
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,0.5,0.5,Mediapart,3,1
0.8444444444444444,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.8219332956472583,0.6488294314381271,0.37777777777777777,0.8214285714285714,0.8487253060305286,Monde,45,17
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,MondeDiplo,6,2
0.8666666666666667,1.0,0.6666666666666666,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8500000000000001,0.7058823529411765,0.4,0.8703703703703703,0.8708333333333333,Parisien,15,6
0.7222222222222222,1.0,0.375,0.5454545454545454,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6727272727272727,0.4,0.4444444444444444,0.8875,0.9064685314685315,SZ,18,8
0.8888888888888888,0.8888888888888888,0.8,0.8421052631578947,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8781954887218044,0.7567567567567568,0.37037037037037035,0.9411764705882353,0.8404365079365078,Spiegel,27,10
0.8148148148148148,1.0,0.5454545454545454,0.7058823529411765,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7853736089030208,0.5871559633027523,0.4074074074074074,0.8181818181818181,0.8635697635697637,Welt,27,11
0.8333333333333334,0.8333333333333334,0.625,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7983193277310925,0.6,0.3333333333333333,0.84375,0.8092261904761905,Zeit,24,8
