epoch,training_loss,validation_loss,eval_accuracy,eval_precision_binary,eval_recall_binary,eval_f1_binary,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_f1_macro,eval_cohen_kappa,eval_prevalence,eval_roc_auc,eval_pr_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,fold
0.2347417840375587,0.6353,,,,,,,,,,,,,,,,,2
0.4694835680751174,0.3829,,,,,,,,,,,,,,,,,2
0.704225352112676,0.2442,,,,,,,,,,,,,,,,,2
0.9389671361502347,0.2688,,,,,,,,,,,,,,,,,2
1.0,,0.11202595382928848,0.9592822636300897,0.34017971758664955,0.9397163120567376,0.49952874646559847,0.9592822636300897,0.9592822636300897,0.9592822636300897,0.7391532865456165,0.4831159176078187,0.02162410858063032,0.9841823516038463,0.6477962065622733,32.6946,398.873,12.479,2
1.1737089201877935,0.1783,,,,,,,,,,,,,,,,,2
1.408450704225352,0.2065,,,,,,,,,,,,,,,,,2
1.6431924882629108,0.1362,,,,,,,,,,,,,,,,,2
1.8779342723004695,0.1201,,,,,,,,,,,,,,,,,2
2.0,,0.1529979109764099,0.9634997316156736,0.36675824175824173,0.9468085106382979,0.5287128712871287,0.9634997316156736,0.9634997316156736,0.9634997316156736,0.7548637745076359,0.5135487395870704,0.02162410858063032,0.9901407378132192,0.7009068567070703,32.7304,398.438,12.465,2
2.112676056338028,0.1491,,,,,,,,,,,,,,,,,2
2.347417840375587,0.0989,,,,,,,,,,,,,,,,,2
2.5821596244131455,0.0905,,,,,,,,,,,,,,,,,2
2.816901408450704,0.0975,,,,,,,,,,,,,,,,,2
3.0,,0.13791002333164215,0.9644965876849935,0.37517241379310345,0.9645390070921985,0.5402184707050646,0.9644965876849935,0.9644965876849935,0.9644965876849935,0.7608769322618045,0.5254421641030018,0.02162410858063032,0.9924565832823333,0.7604005157142268,32.8118,397.448,12.435,2
3.051643192488263,0.1296,,,,,,,,,,,,,,,,,2
3.2863849765258215,0.0692,,,,,,,,,,,,,,,,,2
3.52112676056338,0.0599,,,,,,,,,,,,,,,,,2
3.755868544600939,0.0794,,,,,,,,,,,,,,,,,2
3.9906103286384975,0.0755,,,,,,,,,,,,,,,,,2
4.0,,0.1436408907175064,0.9664136185875316,0.38825214899713467,0.9609929078014184,0.5530612244897959,0.9664136185875316,0.9664136185875316,0.9664136185875316,0.7678062078149721,0.5388564718966798,0.02162410858063032,0.9918622315828793,0.7220341440385512,33.0811,394.214,12.333,2
