Epoch,Training Loss,Validation Loss,eval_accuracy,eval_precision_binary,eval_recall_binary,eval_f1_binary,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_f1_macro,eval_cohen_kappa,eval_prevalence,eval_roc_auc,eval_pr_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,fold
0.2358490566037736,0.646,,,,,,,,,,,,,,,,,0
0.4716981132075472,0.3612,,,,,,,,,,,,,,,,,0
0.7075471698113207,0.2696,,,,,,,,,,,,,,,,,0
0.9433962264150944,0.2493,,,,,,,,,,,,,,,,,0
1.0,,0.15927837789058685,0.9497811564155725,0.2966666666666667,0.9270833333333334,0.4494949494949495,0.9497811564155725,0.9497811564155725,0.9497811564155725,0.7115927559446749,0.4304095974807336,0.0221147201105736,0.978507530646076,0.5500838469178753,32.2644,403.634,12.615,0
1.179245283018868,0.1953,,,,,,,,,,,,,,,,,0
1.4150943396226414,0.129,,,,,,,,,,,,,,,,,0
1.650943396226415,0.1821,,,,,,,,,,,,,,,,,0
1.8867924528301887,0.1479,,,,,,,,,,,,,,,,,0
2.0,,0.19386494159698486,0.94862934807648,0.2953813104189044,0.9548611111111112,0.45118949958982774,0.94862934807648,0.94862934807648,0.94862934807648,0.7121215150102037,0.43200264740724836,0.0221147201105736,0.9862831544736728,0.631160127273426,32.3457,402.619,12.583,0
2.1226415094339623,0.1222,,,,,,,,,,,,,,,,,0
2.358490566037736,0.1017,,,,,,,,,,,,,,,,,0
2.5943396226415096,0.1003,,,,,,,,,,,,,,,,,0
2.830188679245283,0.0853,,,,,,,,,,,,,,,,,0
3.0,,0.14712660014629364,0.9659832603854719,0.38944365192582026,0.9479166666666666,0.5520728008088979,0.9659832603854719,0.9659832603854719,0.9659832603854719,0.767196555251398,0.5375759530059825,0.0221147201105736,0.9871272848231034,0.6765849188079269,32.3341,402.764,12.587,0
3.0660377358490565,0.0956,,,,,,,,,,,,,,,,,0
3.30188679245283,0.0492,,,,,,,,,,,,,,,,,0
3.5377358490566038,0.0482,,,,,,,,,,,,,,,,,0
3.7735849056603774,0.0746,,,,,,,,,,,,,,,,,0
4.0,,0.15223927795886993,0.9673654303923827,0.4,0.9513888888888888,0.5632065775950668,0.9673654303923827,0.9673654303923827,0.9673654303923827,0.7731280365341424,0.5491686405085878,0.0221147201105736,0.9870647112070845,0.5980927693273144,33.128,393.112,12.286,0
0.2347417840375587,0.6365,,,,,,,,,,,,,,,,,1
0.4694835680751174,0.3182,,,,,,,,,,,,,,,,,1
0.704225352112676,0.2857,,,,,,,,,,,,,,,,,1
