epoch,training_loss,validation_loss,eval_accuracy,eval_precision_binary,eval_recall_binary,eval_f1_binary,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_f1_macro,eval_cohen_kappa,eval_prevalence,eval_roc_auc,eval_pr_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,fold
0.2336448598130841,0.6278,,,,,,,,,,,,,,,,,4
0.4672897196261682,0.342,,,,,,,,,,,,,,,,,4
0.7009345794392523,0.2773,,,,,,,,,,,,,,,,,4
0.9345794392523364,0.2271,,,,,,,,,,,,,,,,,4
1.0,,0.2089788168668747,0.9229291532196097,0.21241050119331742,0.9535714285714286,0.34743005855562786,0.9229291532196097,0.9229291532196097,0.9229291532196097,0.6532381193925499,0.3236274469264555,0.021515291224834792,0.9738397204334852,0.40504964438420077,32.6868,398.143,12.452,4
1.1682242990654206,0.1823,,,,,,,,,,,,,,,,,4
1.4018691588785046,0.1424,,,,,,,,,,,,,,,,,4
1.6355140186915889,0.1583,,,,,,,,,,,,,,,,,4
1.8691588785046729,0.1652,,,,,,,,,,,,,,,,,4
2.0,,0.12250247597694397,0.9658828953434763,0.378698224852071,0.9142857142857143,0.5355648535564853,0.9658828953434763,0.9658828953434763,0.9658828953434763,0.7589279277354858,0.5209897781812949,0.021515291224834792,0.9834254190132156,0.6671605902709468,32.7618,397.231,12.423,4
2.102803738317757,0.1497,,,,,,,,,,,,,,,,,4
2.336448598130841,0.1276,,,,,,,,,,,,,,,,,4
2.5700934579439254,0.0803,,,,,,,,,,,,,,,,,4
2.803738317757009,0.1144,,,,,,,,,,,,,,,,,4
3.0,,0.16518349945545197,0.9640387275242047,0.36944444444444446,0.95,0.532,0.9640387275242047,0.9640387275242047,0.9640387275242047,0.7566504714719514,0.517036825578076,0.021515291224834792,0.9856068680024233,0.6670641471588078,32.6704,398.342,12.458,4
3.0373831775700935,0.061,,,,,,,,,,,,,,,,,4
3.2710280373831777,0.0676,,,,,,,,,,,,,,,,,4
3.5046728971962615,0.0637,,,,,,,,,,,,,,,,,4
3.7383177570093458,0.0579,,,,,,,,,,,,,,,,,4
3.97196261682243,0.0966,,,,,,,,,,,,,,,,,4
4.0,,0.15967755019664764,0.9681112647917627,0.3978819969742814,0.9392857142857143,0.5589798087141339,0.9681112647917627,0.9681112647917627,0.9681112647917627,0.7712186881893306,0.545233779616629,0.021515291224834792,0.9861091790257803,0.6788001333743131,33.2234,391.712,12.25,4
