accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail
0.9993088194636439,0.9411764705882353,0.8,0.8648648648648649,0.9993088194636439,0.9993088194636439,0.9993088194636439,0.9322591942645992,0.8645206721153054,0.002764722145424385,0.9828458552813972,0.9096146915600385,cisgender and heterosexuals,7234,20
0.998755875034559,0.8484848484848485,0.875,0.8615384615384616,0.998755875034559,0.998755875034559,0.998755875034559,0.9304567958598369,0.860913740285154,0.004423555432679016,0.9951792904748682,0.8736550341535795,disabled people,7234,32
0.9868675698092342,0.8489425981873112,0.8619631901840491,0.8554033485540334,0.9868675698092342,0.9868675698092342,0.9868675698092342,0.9242623867525797,0.8485251908450788,0.04506497097041747,0.9829716413085567,0.8593572409230572,women,7234,326
0.9901852363837435,0.8564593301435407,0.8136363636363636,0.8344988344988346,0.9901852363837435,0.9901852363837435,0.9901852363837435,0.9147207471162169,0.8294449207783954,0.030411943599668232,0.9848089535215284,0.8449599751099529,"people with an immigration background, including immigrants",7234,220
0.9982029306054742,0.8,0.8235294117647058,0.8115942028985508,0.9982029306054742,0.9982029306054742,0.9982029306054742,0.9053456812117588,0.8106915529645748,0.004700027647221454,0.9351756535947713,0.7259890012054411,Jews,7234,34
0.9957146806745922,0.8,0.810126582278481,0.8050314465408805,0.9957146806745922,0.9957146806745922,0.9957146806745922,0.901432488942395,0.8028650645325195,0.01092065247442632,0.9958566639244929,0.8282002662911612,LGBTQIA+,7234,79
0.9912911252419132,0.7950819672131147,0.7185185185185186,0.754863813229572,0.9912911252419132,0.9912911252419132,0.9912911252419132,0.8752153138345453,0.7504421754924713,0.018661874481614597,0.9801891763576508,0.7741723556821346,men,7234,135
0.9976499861763892,0.7575757575757576,0.7352941176470589,0.746268656716418,0.9976499861763892,0.9976499861763892,0.9976499861763892,0.8725440915690972,0.7450884473316557,0.004700027647221454,0.9970751633986928,0.7051436799511688,Muslims,7234,34
0.9966823334254907,0.6896551724137931,0.5714285714285714,0.625,0.9966823334254907,0.9966823334254907,0.9966823334254907,0.8116668980838656,0.6233485050309581,0.004838263754492674,0.9942769829142937,0.6095666088444782,Christians,7234,35
0.9982029306054742,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.9982029306054742,0.9982029306054742,0.9982029306054742,0.7754118992861765,0.5508506146777599,0.002350013823610727,0.9873827319482594,0.6365658586952632,Ethnic and racial minorities,7234,17
0.9980646944982029,0.0,0.0,0.0,0.9980646944982029,0.9980646944982029,0.9980646944982029,0.4995157049951571,0.0,0.0019353055017970694,0.9825286901464186,0.32612745289815154,multiple (or other) religious or minority groups,7234,14
