accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail
0.9827348066298343,0.21875,1.0,0.358974358974359,0.9827348066298343,0.9827348066298343,0.9827348066298343,0.6751119607262415,0.35384835070683995,0.004834254143646409,0.9954396748289878,0.4804421768707482,Christians,1448,7
0.9827348066298343,0.13793103448275862,1.0,0.24242424242424243,0.9827348066298343,0.9827348066298343,0.9827348066298343,0.6168460716137978,0.2387281292059219,0.0027624309392265192,0.997229916897507,0.5238095238095237,Ethnic and racial minorities,1448,4
0.9882596685082873,0.2727272727272727,0.8571428571428571,0.41379310344827586,0.9882596685082873,0.9882596685082873,0.9882596685082873,0.7039317801859447,0.4094616639477977,0.004834254143646409,0.879944482997918,0.6746352876410681,Jews,1448,7
0.9668508287292817,0.25,1.0,0.4,0.9668508287292817,0.9668508287292817,0.9668508287292817,0.6914772727272727,0.3892013498312711,0.011049723756906077,0.9958100558659218,0.6343682256133335,LGBTQIA+,1448,16
0.9820441988950276,0.21212121212121213,1.0,0.35,0.9820441988950276,0.9820441988950276,0.9820441988950276,0.6704481792717087,0.3447735737408195,0.004834254143646409,0.9955388123327055,0.5050286023500309,Muslims,1448,7
0.9799723756906077,0.12121212121212122,1.0,0.21621621621621623,0.9799723756906077,0.9799723756906077,0.9799723756906077,0.6030364047153134,0.2123349339735895,0.0027624309392265192,0.9937673130193906,0.27601010101010104,cisgender and heterosexuals,1448,4
0.9972375690607734,0.6666666666666666,0.8571428571428571,0.75,0.9972375690607734,0.9972375690607734,0.9972375690607734,0.8743055555555556,0.7486329311691693,0.004834254143646409,0.9839397243977397,0.7903778378821408,disabled people,1448,7
0.9661602209944752,0.35135135135135137,0.9629629629629629,0.5148514851485149,0.9661602209944752,0.9661602209944752,0.9661602209944752,0.7486600896225579,0.5012231813963952,0.018646408839779006,0.9816508979070555,0.5056986676224393,men,1448,27
0.9875690607734806,0.0,0.0,0.0,0.9875690607734806,0.9875690607734806,0.9875690607734806,0.49687282835302293,-0.0034650034650034467,0.0020718232044198894,0.9370242214532872,0.025565870347315486,multiple (or other) religious or minority groups,1448,3
0.9592541436464088,0.42574257425742573,0.9772727272727273,0.593103448275862,0.9592541436464088,0.9592541436464088,0.9592541436464088,0.7858283508191379,0.5751173708920188,0.03038674033149171,0.9934116809116809,0.7541488936287618,"people with an immigration background, including immigrants",1448,44
0.9447513812154696,0.4482758620689655,1.0,0.6190476190476191,0.9447513812154696,0.9447513812154696,0.9447513812154696,0.7946317767613374,0.5938716123829892,0.04488950276243094,0.9843150342065744,0.6373190621719994,women,1448,65
