year,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
2013.0,341,4,0.9882697947214076,0.5,0.75,0.6,0.9621661721068249,0.7681818181818182,0.75,0.75,0.75,1.0,0.75,0.8571428571428571
2009.0,374,4,0.9732620320855615,0.2857142857142857,1.0,0.4444444444444444,0.9972972972972973,0.6791666666666667,0.4,1.0,0.5714285714285714,0.6666666666666666,1.0,0.8
2019.0,693,18,0.9682539682539683,0.45,1.0,0.6206896551724138,0.9963786008230453,0.858287148199429,0.5294117647058824,1.0,0.6923076923076923,0.6206896551724138,1.0,0.7659574468085106
2015.0,2244,39,0.9866310160427807,0.5652173913043478,1.0,0.7222222222222222,0.9965579394150823,0.7688294629563137,0.6551724137931034,0.9743589743589743,0.7835051546391752,0.6666666666666666,0.8205128205128205,0.735632183908046
2016.0,3410,50,0.9844574780058651,0.48514851485148514,0.98,0.6490066225165563,0.979642857142857,0.7026692256671878,0.6,0.96,0.7384615384615385,0.6363636363636364,0.84,0.7241379310344828
2023.0,7414,196,0.9696520097113569,0.46384039900249374,0.9489795918367347,0.6231155778894473,0.9790673542900119,0.6180572597083407,0.5276967930029155,0.923469387755102,0.6716141001855288,0.568561872909699,0.8673469387755102,0.6868686868686869
2004.0,264,2,0.9810606060606061,0.2857142857142857,1.0,0.4444444444444444,1.0,1.0,0.4,1.0,0.5714285714285714,0.5,1.0,0.6666666666666666
1997.0,198,2,0.9747474747474747,0.2857142857142857,1.0,0.4444444444444444,0.9923469387755102,0.5,0.4,1.0,0.5714285714285714,0.5,1.0,0.6666666666666666
1996.0,220,3,0.9681818181818181,0.3,1.0,0.46153846153846156,0.9953917050691243,0.8333333333333333,0.42857142857142855,1.0,0.6,0.5,1.0,0.6666666666666666
2008.0,6556,94,0.9804758999389872,0.419811320754717,0.9468085106382979,0.5816993464052288,0.9886019413000389,0.6379483290760022,0.5119047619047619,0.9148936170212766,0.6564885496183206,0.562962962962963,0.8085106382978723,0.6637554585152838
2021.0,7304,87,0.9846659364731654,0.4358974358974359,0.9770114942528736,0.6028368794326241,0.9959339299451008,0.6795150391861435,0.51875,0.9540229885057471,0.6720647773279352,0.56,0.8045977011494253,0.660377358490566
2003.0,352,4,0.9715909090909091,0.2857142857142857,1.0,0.4444444444444444,0.9899425287356323,0.48214285714285715,0.2727272727272727,0.75,0.4,0.4444444444444444,1.0,0.6153846153846154
2017.0,1903,25,0.9831844456121913,0.4339622641509434,0.92,0.5897435897435898,0.9745260915867944,0.6548347335321109,0.5,0.84,0.6268656716417911,0.5483870967741935,0.68,0.6071428571428571
2000.0,10076,49,0.9895791980944819,0.31333333333333335,0.9591836734693877,0.4723618090452261,0.9821868709586159,0.505023804797318,0.415929203539823,0.9591836734693877,0.5802469135802469,0.47058823529411764,0.8163265306122449,0.5970149253731343
2022.0,7854,80,0.9826839826839827,0.36666666666666664,0.9625,0.5310344827586206,0.9898218420375612,0.5759869252177773,0.41714285714285715,0.9125,0.5725490196078431,0.4642857142857143,0.8125,0.5909090909090909
1995.0,13387,97,0.9879734070366774,0.36885245901639346,0.9278350515463918,0.5278592375366569,0.9832728274107344,0.5455663467495736,0.43,0.8865979381443299,0.5791245791245792,0.4864864864864865,0.7422680412371134,0.5877551020408164
2018.0,1947,26,0.9815100154083205,0.4166666666666667,0.9615384615384616,0.5813953488372093,0.9937132102670885,0.6415352830122771,0.4897959183673469,0.9230769230769231,0.64,0.48717948717948717,0.7307692307692307,0.5846153846153846
2020.0,770,13,0.964935064935065,0.325,1.0,0.49056603773584906,0.9931917488060156,0.7741284300494826,0.375,0.9230769230769231,0.5333333333333333,0.41379310344827586,0.9230769230769231,0.5714285714285714
1999.0,935,11,0.9743315508021391,0.2903225806451613,0.8181818181818182,0.42857142857142855,0.9365407319952774,0.6480466840605864,0.5,0.8181818181818182,0.6206896551724138,0.5,0.6363636363636364,0.56
1998.0,1045,15,0.9741626794258373,0.35,0.9333333333333333,0.509090909090909,0.9565695792880259,0.5560608892638967,0.5,0.8666666666666667,0.6341463414634146,0.5714285714285714,0.5333333333333333,0.5517241379310345
2002.0,8393,101,0.9748600023829381,0.31666666666666665,0.9405940594059405,0.47381546134663344,0.972219436125957,0.516249758740397,0.36254980079681276,0.900990099009901,0.5170454545454546,0.3933649289099526,0.8217821782178217,0.532051282051282
2010.0,440,5,0.9840909090909091,0.4166666666666667,1.0,0.5882352941176471,0.9958620689655172,0.7642857142857142,0.4444444444444444,0.8,0.5714285714285714,0.42857142857142855,0.6,0.5
2011.0,385,1,0.9792207792207792,0.1111111111111111,1.0,0.2,1.0,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5
2012.0,374,3,0.9812834224598931,0.25,0.6666666666666666,0.36363636363636365,0.7960467205750225,0.5599223677826298,0.2857142857142857,0.6666666666666666,0.4,0.3333333333333333,0.6666666666666666,0.4444444444444444
