country,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Germany,41239,622,0.9827832876645893,0.46557120500782473,0.9565916398713826,0.6263157894736842,0.9865178694204595,0.6547093513025456,0.5409990574929312,0.9228295819935691,0.6821152703505645,0.5813424345847554,0.8215434083601286,0.6808794137241839
France,38335,324,0.980644319812182,0.29669260700389105,0.941358024691358,0.4511834319526627,0.9758517758504605,0.4815313539778705,0.36352357320099254,0.904320987654321,0.5185840707964602,0.40445859872611467,0.7839506172839507,0.5336134453781513
