accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.9965397923875432,0.75,0.42857142857142855,0.5454545454545454,0.9965397923875432,0.9965397923875432,0.9965397923875432,0.7718589156588462,0.5438474651177473,0.004844290657439446,0.9963242598847606,0.7246173469387756,Christians,1445,7,0
0.9972318339100346,0.5,0.25,0.3333333333333333,0.9972318339100346,0.9972318339100346,0.9972318339100346,0.6659731853906611,0.3321007626531084,0.002768166089965398,0.9866412213740459,0.4720319634703196,Ethnic and racial minorities,1445,4,0
0.9993079584775086,0.875,1.0,0.9333333333333333,0.9993079584775086,0.9993079584775086,0.9993079584775086,0.9664927536231884,0.9329870611695961,0.004844290657439446,0.9995032783628055,0.8736394557823128,Jews,1445,7,0
0.9965397923875432,0.9230769230769231,0.75,0.8275862068965517,0.9965397923875432,0.9965397923875432,0.9965397923875432,0.9129192831057382,0.8258574561932078,0.011072664359861591,0.998206787963611,0.8919004606504607,LGBTQIA+,1445,16,0
0.9965397923875432,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.9965397923875432,0.9965397923875432,0.9965397923875432,0.8068233469693324,0.6136570236885728,0.004844290657439446,0.997913769123783,0.6268816617556112,Muslims,1445,7,0
0.9993079584775086,1.0,0.75,0.8571428571428571,0.9993079584775086,0.9993079584775086,0.9993079584775086,0.9283979981170407,0.8568030918640372,0.002768166089965398,1.0,1.0,cisgender and heterosexuals,1445,4,0
0.9986159169550173,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9986159169550173,0.9986159169550173,0.9986159169550173,0.9282237234253924,0.8564474468507848,0.004844290657439446,0.9996026226902445,0.9093537414965986,disabled people,1445,7,0
0.9930795847750865,0.84,0.7777777777777778,0.8076923076923077,0.9930795847750865,0.9930795847750865,0.9930795847750865,0.9020843497587684,0.8041740073180648,0.018685121107266434,0.9819516272266624,0.8102378866303567,men,1445,27,0
0.9979238754325259,0.0,0.0,0.0,0.9979238754325259,0.9979238754325259,0.9979238754325259,0.49948042951160376,0.0,0.0020761245674740486,0.994914470642626,0.7066666666666666,multiple (or other) religious or minority groups,1445,3,0
0.9847750865051903,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.9847750865051903,0.9847750865051903,0.9847750865051903,0.868170056066085,0.7363444855441472,0.03044982698961938,0.9929109077931348,0.8453531620781195,"people with an immigration background, including immigrants",1445,44,0
