accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9965301873698821,0.8125,0.8666666666666667,0.8387096774193549,0.9965301873698821,0.9965301873698821,0.9965301873698821,0.9184779534062751,0.8369577515783757,0.010409437890353921,0.9993454885460495,0.9290835199658729,Bild,1441,15
0.9964695498676082,0.9,0.9,0.9,0.9964695498676082,0.9964695498676082,0.9964695498676082,0.9491015274034142,0.8982030548068284,0.0176522506619594,0.9966307277628031,0.9362019914651496,FAZ,1133,20
0.9962121212121212,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.9157088122605364,0.8314236049522863,0.010732323232323232,0.9962461053342843,0.6808098680803197,Figaro,1584,17
0.9962121212121212,1.0,0.75,0.8571428571428571,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.9276117356731559,0.8552631578947368,0.015151515151515152,0.9942307692307691,0.90625,Liberation,528,8
0.9894291754756871,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.9894291754756871,0.9894291754756871,0.9894291754756871,0.8050127792893067,0.6100255585786132,0.013742071881606765,0.9916728501937505,0.7805772005772005,Mediapart,946,13
0.9968213604577241,0.7272727272727273,0.8,0.7619047619047619,0.9968213604577241,0.9968213604577241,0.9968213604577241,0.8801523809523809,0.7603084143479718,0.006357279084551812,0.991234804862444,0.8514285714285713,Monde,1573,10
0.9989177489177489,1.0,0.8571428571428571,0.9230769230769231,0.9989177489177489,0.9989177489177489,0.9989177489177489,0.9612659819744289,0.9225352112676056,0.007575757575757576,0.9333229474996105,0.8594417077175698,MondeDiplo,924,7
0.9972727272727273,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9972727272727273,0.9972727272727273,0.9972727272727273,0.7850302911862419,0.5700605823724838,0.003181818181818182,0.86671878053547,0.6765120502478277,Parisien,2200,7
0.9968866749688667,0.9166666666666666,0.88,0.8979591836734694,0.9968866749688667,0.9968866749688667,0.9968866749688667,0.94818920296541,0.8963790745089942,0.015566625155666251,0.9983554712207463,0.8965835333397254,SZ,1606,25
0.9984459984459985,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9984459984459985,0.9984459984459985,0.9984459984459985,0.9768774703557312,0.9537549407114625,0.017094017094017096,0.9990298239310097,0.9678719871303603,Spiegel,1287,22
0.9949494949494949,0.9230769230769231,0.8275862068965517,0.8727272727272727,0.9949494949494949,0.9949494949494949,0.9949494949494949,0.9350754508649246,0.8701587216616258,0.020923520923520924,0.9966457449241481,0.9193514704367879,Welt,1386,29
0.9976689976689976,1.0,0.75,0.8571428571428571,0.9976689976689976,0.9976689976689976,0.9976689976689976,0.9279838845056236,0.8559919436052367,0.009324009324009324,0.9998039215686274,0.9833333333333335,Zeit,1287,12
