epoch,training_loss,validation_loss,eval_accuracy,eval_precision_binary,eval_recall_binary,eval_f1_binary,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_f1_macro,eval_cohen_kappa,eval_prevalence,eval_roc_auc,eval_pr_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,fold
0.352112676056338,0.5555,,,,,,,,,,,,,,,,,2
0.704225352112676,0.2162,,,,,,,,,,,,,,,,,2
1.0,,0.0618828609585762,0.9819186338523355,0.38926174496644295,0.9206349206349206,0.5471698113207547,0.9819186338523355,0.9819186338523355,0.9819186338523355,0.7689724777295638,0.5394887504991848,0.011865896534404822,0.9672047765954622,0.7023320503096709,40.6624,391.713,12.247,2
1.056338028169014,0.1725,,,,,,,,,,,,,,,,,2
1.408450704225352,0.1332,,,,,,,,,,,,,,,,,2
1.76056338028169,0.1233,,,,,,,,,,,,,,,,,2
2.0,,0.060044944286346436,0.9825464590657961,0.39954853273137697,0.9365079365079365,0.560126582278481,0.9825464590657961,0.9825464590657961,0.9825464590657961,0.7756115873216642,0.5526856033139369,0.011865896534404822,0.9890574453443759,0.8038186404695928,40.8075,390.321,12.204,2
2.112676056338028,0.1038,,,,,,,,,,,,,,,,,2
2.464788732394366,0.0717,,,,,,,,,,,,,,,,,2
2.816901408450704,0.0595,,,,,,,,,,,,,,,,,2
3.0,,0.060526736080646515,0.9873179306880965,0.4820936639118457,0.9259259259259259,0.6340579710144928,0.9873179306880965,0.9873179306880965,0.9873179306880965,0.8138025607691938,0.6282564544458594,0.011865896534404822,0.986991334503883,0.7616963812688153,41.278,385.872,12.065,2
3.169014084507042,0.0762,,,,,,,,,,,,,,,,,2
3.52112676056338,0.0437,,,,,,,,,,,,,,,,,2
3.873239436619718,0.0458,,,,,,,,,,,,,,,,,2
4.0,,0.08494871854782104,0.983550979407333,0.4168564920273349,0.9682539682539683,0.5828025477707006,0.983550979407333,0.983550979407333,0.983550979407333,0.7872063206382643,0.5757646610568716,0.011865896534404822,0.9889470129637865,0.6844595149760154,41.0649,387.873,12.127,2
