epoch,training_loss,validation_loss,fold
0.04604051565377532,0.14299951553344725,,1
0.09208103130755065,0.11624618530273438,,1
0.13812154696132597,0.08205619812011719,,1
0.1841620626151013,0.07677063465118408,,1
0.2302025782688766,0.05611431121826172,,1
0.27624309392265195,0.05767545223236084,,1
0.32228360957642727,0.046815075874328614,,1
0.3683241252302026,0.05068550109863281,,1
0.4143646408839779,0.045846047401428225,,1
0.4604051565377532,0.05754728317260742,,1
0.5064456721915286,0.06282509803771973,,1
0.5524861878453039,0.04434340953826904,,1
0.5985267034990792,0.06822442054748536,,1
0.6445672191528545,0.03566991329193115,,1
0.6906077348066298,0.05178396224975586,,1
0.7366482504604052,0.030794074535369875,,1
0.7826887661141805,0.049397091865539554,,1
0.8287292817679558,0.048883671760559085,,1
0.8747697974217311,0.03872230052947998,,1
0.9208103130755064,0.06669672966003418,,1
0.9668508287292817,0.05320664405822754,,1
1.0,,0.042966365814208984,1
1.0128913443830572,0.01763283133506775,,1
1.0589318600368325,0.027009541988372802,,1
1.1049723756906078,0.018322993516921997,,1
1.1510128913443831,0.010419955253601074,,1
1.1970534069981584,0.03233527660369873,,1
1.2430939226519337,0.0461104154586792,,1
1.289134438305709,0.03272823095321655,,1
1.3351749539594844,0.034187862873077395,,1
1.3812154696132597,0.034482021331787106,,1
1.427255985267035,0.029309630393981934,,1
1.4732965009208103,0.016055792570114136,,1
1.5193370165745856,0.042359108924865725,,1
1.565377532228361,0.014307460784912109,,1
1.6114180478821363,0.03185944080352783,,1
1.6574585635359116,0.02808243751525879,,1
1.703499079189687,0.04097188472747803,,1
1.7495395948434622,0.04536231517791748,,1
1.7955801104972375,0.035338454246520996,,1
1.8416206261510129,0.02646099328994751,,1
1.8876611418047882,0.04974135398864746,,1
1.9337016574585635,0.030717761516571046,,1
1.979742173112339,0.025290193557739257,,1
2.0,,0.03737899288535118,1
2.0257826887661143,0.012335675954818725,,1
2.0718232044198897,0.016763272285461425,,1
2.117863720073665,0.023391895294189453,,1
2.1639042357274403,0.016779019832611083,,1
2.2099447513812156,0.011589298248291016,,1
2.255985267034991,0.027177245616912843,,1
2.3020257826887662,0.0019577032327651976,,1
2.3480662983425415,0.01141119122505188,,1
2.394106813996317,0.035827877521514895,,1
2.440147329650092,0.026306796073913574,,1
2.4861878453038675,0.016813606023788452,,1
2.532228360957643,0.0025425687432289123,,1
2.578268876611418,0.022579669952392578,,1
2.6243093922651934,0.02513864517211914,,1
2.6703499079189688,0.005112015604972839,,1
2.716390423572744,0.017197026014328,,1
2.7624309392265194,0.026369733810424803,,1
2.8084714548802947,0.0291729211807251,,1
2.85451197053407,0.01034591555595398,,1
2.9005524861878453,0.022103869915008546,,1
2.9465930018416207,0.010191413164138794,,1
2.992633517495396,0.009290781617164613,,1
3.0,,0.03323959931731224,1
