year,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
,8,1,0.75,0.3333333333333333,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2007.0,212,3,0.9905660377358491,0.6,1.0,0.75,0.9920255183413078,0.5333333333333333,0.5,0.6666666666666666,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714
2021.0,2656,38,0.9672439759036144,0.2975206611570248,0.9473684210526315,0.4528301886792453,0.976900808170158,0.48407930333211546,0.42857142857142855,0.39473684210526316,0.410958904109589,0.3875,0.8157894736842105,0.5254237288135594
2022.0,2856,41,0.9698879551820728,0.3008849557522124,0.8292682926829268,0.44155844155844154,0.9600485205562536,0.5206521987972187,0.46511627906976744,0.4878048780487805,0.47619047619047616,0.4142857142857143,0.7073170731707317,0.5225225225225225
2008.0,2384,35,0.9702181208053692,0.32,0.9142857142857143,0.4740740740740741,0.9851608587240771,0.40612892849996696,0.4,0.4,0.4,0.40350877192982454,0.6571428571428571,0.5
1997.0,72,1,0.9583333333333334,0.25,1.0,0.4,0.9859154929577465,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.5
2015.0,816,19,0.9497549019607843,0.3103448275862069,0.9473684210526315,0.4675324675324675,0.9784058640956217,0.4023803939701349,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.34210526315789475,0.6842105263157895,0.45614035087719296
1998.0,380,6,0.9263157894736842,0.17647058823529413,1.0,0.3,0.981283422459893,0.4380482456140351,0.2,0.16666666666666666,0.18181818181818182,0.3125,0.8333333333333334,0.45454545454545453
2012.0,136,1,0.9558823529411765,0.14285714285714285,1.0,0.25,0.9925925925925926,0.5,0.3333333333333333,1.0,0.5,0.25,1.0,0.4
2014.0,180,3,0.9333333333333333,0.15384615384615385,0.6666666666666666,0.25,0.7702448210922787,0.16610305958132043,0.2,0.3333333333333333,0.25,0.2857142857142857,0.6666666666666666,0.4
2023.0,2696,45,0.9510385756676558,0.23636363636363636,0.8666666666666667,0.37142857142857144,0.962873548765665,0.28469243975908815,0.2835820895522388,0.4222222222222222,0.3392857142857143,0.25925925925925924,0.6222222222222222,0.3660130718954248
2010.0,160,2,0.9125,0.125,1.0,0.2222222222222222,0.9556962025316456,0.17142857142857143,0.0,0.0,0.0,0.2222222222222222,1.0,0.36363636363636365
1995.0,4868,67,0.9661051766639277,0.2644230769230769,0.8208955223880597,0.4,0.9426860697553682,0.3227914599746435,0.28,0.31343283582089554,0.29577464788732394,0.265625,0.5074626865671642,0.3487179487179487
2000.0,3664,20,0.9819868995633187,0.20512820512820512,0.8,0.32653061224489793,0.9701701427003293,0.25881880474464114,0.23076923076923078,0.3,0.2608695652173913,0.24390243902439024,0.5,0.32786885245901637
2016.0,1240,7,0.9725806451612903,0.17073170731707318,1.0,0.2916666666666667,0.9899200556134863,0.384283218869685,0.2,0.2857142857142857,0.23529411764705882,0.18518518518518517,0.7142857142857143,0.29411764705882354
2005.0,120,1,0.9333333333333333,0.1111111111111111,1.0,0.2,0.9831932773109243,0.3333333333333333,0.3333333333333333,1.0,0.5,0.16666666666666666,1.0,0.2857142857142857
2017.0,692,6,0.9696531791907514,0.17391304347826086,0.6666666666666666,0.27586206896551724,0.7014091350826043,0.23911931909867468,0.3,0.5,0.375,0.1875,0.5,0.2727272727272727
2002.0,3052,37,0.9416775884665793,0.15270935960591134,0.8378378378378378,0.25833333333333336,0.9363542647124736,0.2879557651030622,0.2112676056338028,0.40540540540540543,0.2777777777777778,0.16666666666666666,0.5405405405405406,0.25477707006369427
2001.0,368,2,0.9402173913043478,0.08333333333333333,1.0,0.15384615384615385,0.9863387978142077,0.34090909090909094,0.14285714285714285,0.5,0.2222222222222222,0.13333333333333333,1.0,0.23529411764705882
2020.0,280,2,0.95,0.125,1.0,0.2222222222222222,0.9820143884892086,0.5833333333333334,0.125,0.5,0.2,0.09090909090909091,0.5,0.15384615384615385
2019.0,252,2,0.9404761904761905,0.11764705882352941,1.0,0.21052631578947367,0.974,0.20833333333333331,0.1111111111111111,0.5,0.18181818181818182,0.09090909090909091,0.5,0.15384615384615385
1996.0,80,0,0.95,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,92,0,0.9456521739130435,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,96,0,0.9479166666666666,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003.0,128,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.0,340,0,0.9647058823529412,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,124,1,0.9919354838709677,0.5,1.0,0.6666666666666666,0.991869918699187,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,140,0,0.9857142857142858,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,136,1,0.9338235294117647,0.1,1.0,0.18181818181818182,0.9703703703703703,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,708,1,0.9745762711864406,0.0,0.0,0.0,0.1697312588401697,0.0017006802721088435,0.0,0.0,0.0,0.0,0.0,0.0
