epoch,training_loss,validation_loss,fold
0.03455425017277125,0.14679648399353026,,4
0.0691085003455425,0.07719013214111328,,4
0.10366275051831375,0.04546566009521484,,4
0.138217000691085,0.058676471710205076,,4
0.17277125086385625,0.04046162605285644,,4
0.2073255010366275,0.07484519958496094,,4
0.24187975120939875,0.04922941684722901,,4
0.27643400138217,0.04325923919677734,,4
0.31098825155494125,0.038128833770751956,,4
0.3455425017277125,0.058382816314697265,,4
0.38009675190048375,0.06967284679412841,,4
0.414651002073255,0.036568856239318846,,4
0.44920525224602625,0.04426934242248535,,4
0.4837595024187975,0.04437021255493164,,4
0.5183137525915688,0.06881361961364746,,4
0.55286800276434,0.04428032398223877,,4
0.5874222529371113,0.05632283210754394,,4
0.6219765031098825,0.04651839256286621,,4
0.6565307532826538,0.04248365879058838,,4
0.691085003455425,0.03845125913619995,,4
0.7256392536281963,0.05358541011810303,,4
0.7601935038009675,0.024459383487701415,,4
0.7947477539737388,0.049242563247680664,,4
0.82930200414651,0.0415625,,4
0.8638562543192813,0.020472867488861082,,4
0.8984105044920525,0.06268166065216065,,4
0.9329647546648238,0.03219007968902588,,4
0.967519004837595,0.016728408336639404,,4
1.0,,0.036710020154714584,4
1.0020732550103664,0.04441380500793457,,4
1.0366275051831375,0.01596768379211426,,4
1.0711817553559089,0.019181411266326904,,4
1.10573600552868,0.021901681423187255,,4
1.1402902557014514,0.046404972076416015,,4
1.1748445058742225,0.012361422777175904,,4
1.2093987560469939,0.01688434839248657,,4
1.243953006219765,0.0055805337429046635,,4
1.2785072563925364,0.02273444652557373,,4
1.3130615065653075,0.043599853515625,,4
1.3476157567380787,0.020703096389770508,,4
1.38217000691085,0.036499767303466796,,4
1.4167242570836214,0.02570274829864502,,4
1.4512785072563925,0.03352582693099976,,4
1.4858327574291637,0.01723745107650757,,4
1.520387007601935,0.014818934202194213,,4
1.5549412577747064,0.013054958581924438,,4
1.5894955079474775,0.017935107946395874,,4
1.6240497581202487,0.03697555780410767,,4
1.65860400829302,0.0447331428527832,,4
1.6931582584657914,0.020378837585449217,,4
1.7277125086385625,0.0038743096590042113,,4
1.7622667588113337,0.024563148021697997,,4
1.796821008984105,0.0008280210196971894,,4
1.8313752591568764,0.01931145429611206,,4
1.8659295093296475,0.00852102816104889,,4
1.9004837595024187,0.013861699104309082,,4
1.93503800967519,0.033828530311584476,,4
1.9695922598479614,0.02600857734680176,,4
2.0,,0.03865602985024452,4
2.0041465100207327,0.03575181722640991,,4
2.0387007601935037,0.008572553396224975,,4
2.073255010366275,0.00969787061214447,,4
2.1078092605390464,0.016045534610748292,,4
2.1423635107118177,0.016976741552352907,,4
2.1769177608845887,0.0019392994046211242,,4
2.21147201105736,0.001026756688952446,,4
2.2460262612301314,0.013278868198394776,,4
2.2805805114029027,0.006913582682609558,,4
2.3151347615756737,0.015348939895629883,,4
2.349689011748445,0.011521917581558228,,4
2.3842432619212164,0.0007809704542160034,,4
2.4187975120939877,0.0002807547710835934,,4
2.4533517622667587,0.00876491129398346,,4
2.48790601243953,0.010069174766540527,,4
2.5224602626123014,0.028782446384429932,,4
2.5570145127850727,0.035148165225982665,,4
2.5915687629578437,0.006323213577270508,,4
2.626123013130615,0.016218165159225462,,4
2.6606772633033864,0.02078742265701294,,4
2.6952315134761573,0.003633774220943451,,4
2.7297857636489287,0.006768355965614319,,4
2.7643400138217,0.0007231247425079346,,4
2.7988942639944714,0.006504940390586853,,4
2.8334485141672427,0.00985117733478546,,4
2.8680027643400137,0.0074313759803771974,,4
2.902557014512785,0.013401460647583009,,4
2.9371112646855564,0.03740004062652588,,4
2.9716655148583273,0.007294166088104248,,4
3.0,,0.04841424897313118,4
