decade,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
,8,1,0.75,0.3333333333333333,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2020.0,8488,126,0.9624175306314797,0.2674698795180723,0.8809523809523809,0.41035120147874304,0.9669489337630932,0.39062564271632294,0.35947712418300654,0.4365079365079365,0.3942652329749104,0.3308550185873606,0.7063492063492064,0.4506329113924051
1990.0,5740,74,0.9630662020905923,0.2366412213740458,0.8378378378378378,0.36904761904761907,0.9456716688449832,0.3100817593280246,0.25287356321839083,0.2972972972972973,0.2732919254658385,0.25157232704402516,0.5405405405405406,0.34334763948497854
2010.0,4448,42,0.9631294964028777,0.18877551020408162,0.8809523809523809,0.31092436974789917,0.9101738970667703,0.2546012930768725,0.27941176470588236,0.4523809523809524,0.34545454545454546,0.2231404958677686,0.6428571428571429,0.3312883435582822
2000.0,10252,99,0.9642996488490051,0.1958997722095672,0.8686868686868687,0.31970260223048325,0.9652976131849371,0.2755195527288776,0.2582781456953642,0.3939393939393939,0.312,0.2283464566929134,0.5858585858585859,0.3286118980169972
