accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.9375,0.8125,0.7647058823529411,0.7878787878787878,0.9375,0.9375,0.9375,0.8756147866095509,0.751269035532995,0.15178571428571427,0.9405572755417957,0.834399443440619,1990.0,112,17
0.9697478991596639,0.9651162790697675,0.8469387755102041,0.9021739130434783,0.9697478991596639,0.9697478991596639,0.9697478991596639,0.9421406344541448,0.8843712212817412,0.16470588235294117,0.9886050999876812,0.9496810672748042,2000.0,595,98
0.9774436090225563,0.9,0.9473684210526315,0.9230769230769231,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.954930532023043,0.9098712446351931,0.14285714285714285,0.9847645429362881,0.9242221552369017,2010.0,133,19
0.9605911330049262,0.9666666666666667,0.8055555555555556,0.8787878787878788,0.9605911330049262,0.9605911330049262,0.9605911330049262,0.9276292335115864,0.8554903007652608,0.17733990147783252,0.9717232202262143,0.9107083669620608,2020.0,203,36
0.8761904761904762,0.7777777777777778,0.6086956521739131,0.6829268292682927,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8030018761726079,0.6074201898188093,0.21904761904761905,0.9522799575821844,0.8465112138581679,,105,23
