accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.75,0.5,0.3333333333333333,0.7222222222222222,0.6984126984126984,1990.0,9,3
0.8888888888888888,1.0,0.6666666666666666,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8615384615384616,0.7272727272727273,0.3333333333333333,0.7777777777777778,0.8095238095238095,2000.0,9,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,2010.0,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,2020.0,6,2
0.9607843137254902,1.0,0.9,0.9473684210526315,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9580592105263157,0.916256157635468,0.39215686274509803,0.9516129032258064,0.9630434782608697,,51,20
