accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.890625,1.0,0.5625,0.72,0.890625,0.890625,0.890625,0.8260194174757282,0.6585365853658536,0.92578125,0.8506316047276725,1990.0,64,16
0.8611111111111112,0.8,0.631578947368421,0.7058823529411765,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8074866310160428,0.6166134185303513,0.9136047666335649,0.7348216793471345,2000.0,72,19
0.8928571428571429,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8497316636851521,0.7,0.8095238095238095,0.8078571428571428,2010.0,28,7
0.8625,1.0,0.45,0.6206896551724138,0.8625,0.8625,0.8625,0.7683600947617795,0.5510204081632653,0.9291666666666666,0.8790253399406543,2020.0,80,20
0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8666666666666667,0.7333333333333334,0.92,0.8909090909090909,,20,5
