accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9629629629629629,1.0,0.6666666666666666,0.8,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.889795918367347,0.7804878048780488,0.1111111111111111,0.982638888888889,0.91890078732184,Bild,162,18
0.9583333333333334,1.0,0.625,0.7692307692307693,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8731650029359953,0.7476635514018692,0.1111111111111111,0.99072265625,0.9446657509157509,FAZ,144,16
0.9484126984126984,0.84,0.7,0.7636363636363637,0.9484126984126984,0.9484126984126984,0.9484126984126984,0.86734156711885,0.7349514563106796,0.11904761904761904,0.9385885885885886,0.8577060990967632,Figaro,252,30
0.9722222222222222,0.875,0.875,0.875,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9296875,0.859375,0.1111111111111111,0.998046875,0.9861111111111112,Liberation,72,8
0.9753086419753086,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9753086419753086,0.9753086419753086,0.9753086419753086,0.9375,0.875,0.1111111111111111,0.9922839506172839,0.9376903960237295,Mediapart,81,9
0.9555555555555556,0.8648648648648649,0.7804878048780488,0.8205128205128205,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.8975752508361203,0.7952265973254087,0.13015873015873017,0.9869147231618302,0.9330709600156131,Monde,315,41
0.9652777777777778,0.9375,0.7894736842105263,0.8571428571428571,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9186900056465274,0.8375451263537906,0.13194444444444445,0.9865263157894737,0.943730550541696,MondeDiplo,144,19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11851851851851852,1.0,1.0,Parisien,135,16
0.95,1.0,0.625,0.7692307692307693,0.95,0.95,0.95,0.8705966930265996,0.7428571428571429,0.13333333333333333,0.9866452991452992,0.9302042118574375,SZ,180,24
0.9615384615384616,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8974234085042132,0.79533527696793,0.11965811965811966,0.9783287101248266,0.9299283957509685,Spiegel,234,28
0.9768518518518519,0.92,0.8846153846153846,0.9019607843137255,0.9768518518518519,0.9768518518518519,0.9768518518518519,0.9444187123668365,0.8888431453272951,0.12037037037037036,0.9973684210526316,0.9827915140415141,Welt,216,26
0.9797979797979798,1.0,0.8181818181818182,0.9,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9443820224719102,0.8888888888888888,0.1111111111111111,1.0,1.0,Zeit,99,11
