accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.5,1.0,1.0,Bild,6,3
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,0.0,0.3333333333333333,FAZ,3,1
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,0.5,0.5,Figaro,3,1
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,1.0,1.0,Liberation,6,2
0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3076923076923077,0.0,0.5555555555555556,0.9,0.9266666666666667,Mediapart,9,5
0.6111111111111112,0.0,0.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.3793103448275862,0.0,0.3888888888888889,0.05194805194805195,0.25900860344137655,Monde,18,7
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,1.0,1.0,MondeDiplo,3,1
0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5341614906832298,0.19354838709677413,0.4,0.7777777777777778,0.7787397787397787,Parisien,15,6
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,1.0,1.0,SZ,3,1
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,1.0,1.0,Spiegel,6,2
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,0.5,0.5,Welt,3,1
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,0.3333333333333333,1.0,1.0,Zeit,3,1
