outlet;category;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
mondediplo;labor_market_position;21219;2.9073;642.0;2.1141;953.0;3.1766;853.0;3.0565;721.0;2.6501;716.0;2.5368;850.0;3.1639;710.0;2.695;636.0;2.5748;691.0;2.6156;530.0;2.154;451.0;1.9651;695.0;2.8859;704.0;2.8646;813.0;3.1305;790.0;3.1437;846.0;3.6141;720.0;3.115;722.0;3.0689;739.0;3.0514;739.0;3.0599;652;2.5737;802.0;3.3979;983;4.0513;717;3.1108;755;3.2009;827;3.4767;704.0;2.9429;635.0;2.7558;561.0;2.3943;62.0;3.0039;;
mondediplo;profession;31480;4.3132;1233.0;4.0602;1077.0;3.5899;1042.0;3.7337;1149.0;4.2232;934.0;3.3091;876.0;3.2606;886.0;3.3631;906.0;3.6679;1008.0;3.8156;985.0;4.0033;822.0;3.5817;970.0;4.0277;1205.0;4.9032;1082.0;4.1663;1177.0;4.6836;978.0;4.1781;1002.0;4.335;1142.0;4.8542;972.0;4.0135;1264.0;5.2337;1496;5.9053;1250.0;5.2959;1326;5.4649;978;4.2431;1071;4.5406;1115;4.6874;1303.0;5.4469;1064.0;4.6177;1091.0;4.6562;76.0;3.6822;;
mondediplo;real_estate_ownership;351;0.0481;10.0;0.0329;11.0;0.0367;14.0;0.0502;10.0;0.0368;6.0;0.0213;11.0;0.0409;10.0;0.038;9.0;0.0364;10.0;0.0379;6.0;0.0244;12.0;0.0523;10.0;0.0415;11.0;0.0448;12.0;0.0462;18.0;0.0716;9.0;0.0384;10.0;0.0433;9.0;0.0383;12.0;0.0495;6.0;0.0248;18;0.0711;19.0;0.0805;17;0.0701;26;0.1128;10;0.0424;12;0.0504;15.0;0.0627;22.0;0.0955;5.0;0.0213;1.0;0.0484;;
mondediplo;social_deviance;2567;0.3517;90.0;0.2964;115.0;0.3833;131.0;0.4694;115.0;0.4227;130.0;0.4606;84.0;0.3127;110.0;0.4175;112.0;0.4534;95.0;0.3596;150.0;0.6096;97.0;0.4227;104.0;0.4318;83.0;0.3377;78.0;0.3003;53.0;0.2109;64.0;0.2734;68.0;0.2942;61.0;0.2593;71.0;0.2932;116.0;0.4803;92;0.3632;81.0;0.3432;55;0.2267;62;0.269;83;0.3519;65;0.2733;72.0;0.301;51.0;0.2213;77.0;0.3286;2.0;0.0969;;
mondediplo;social_roles_and_behavior;4921;0.6742;158.0;0.5203;163.0;0.5433;362.0;1.2971;277.0;1.0181;248.0;0.8787;240.0;0.8933;143.0;0.5428;157.0;0.6356;171.0;0.6473;194.0;0.7885;140.0;0.61;125.0;0.519;151.0;0.6144;196.0;0.7547;127.0;0.5054;102.0;0.4357;201.0;0.8696;133.0;0.5653;152.0;0.6276;118.0;0.4886;138;0.5447;193.0;0.8177;116;0.4781;172;0.7462;184;0.7801;234;0.9837;106.0;0.4431;101.0;0.4383;107.0;0.4567;12.0;0.5814;;
mondediplo;socio_economic_position;8560;1.1728;288.0;0.9484;333.0;1.11;311.0;1.1144;392.0;1.4408;287.0;1.0168;338.0;1.2581;277.0;1.0514;290.0;1.174;219.0;0.829;205.0;0.8332;189.0;0.8235;230.0;0.955;334.0;1.359;380.0;1.4632;355.0;1.4127;351.0;1.4995;312.0;1.3498;371.0;1.577;363.0;1.4989;344.0;1.4244;244;0.9632;215.0;0.9109;234;0.9644;239;1.0369;327;1.3864;315;1.3243;318.0;1.3293;297.0;1.289;186.0;0.7938;16.0;0.7752;;
spiegel;age_and_family_status;136071;2.0165;4733.0;1.8644;4715.0;1.8701;4807.0;1.8729;4853.0;1.921;5244.0;1.8764;5250.0;1.9111;5121.0;1.9534;5545.0;2.2498;4234.0;1.799;4061.0;1.7561;4995.0;2.0478;5591.0;2.2425;5738.0;2.2676;5260.0;2.1261;5339.0;1.9888;5024.0;2.0533;4696.0;1.9069;5264.0;2.1103;5681.0;2.2902;4481.0;1.6756;5166;2.1274;5434.0;2.0432;5676;2.2214;5064;2.1032;5362;2.1587;4688;1.9163;4039.0;2.158;5275.0;2.1655;6966.0;2.8053;;;;
spiegel;identities;119654;1.7732;4968.0;1.957;4729.0;1.8756;4762.0;1.8553;5007.0;1.9819;4664.0;1.6688;4778.0;1.7393;4841.0;1.8466;4025.0;1.6331;3289.0;1.3975;3524.0;1.5239;3940.0;1.6153;4396.0;1.7632;3603.0;1.4239;3473.0;1.4038;3931.0;1.4643;3870.0;1.5817;3701.0;1.5029;3532.0;1.416;4016.0;1.619;4230.0;1.5818;6973;2.8716;7344.0;2.7614;5098;1.9951;5491;2.2806;4132;1.6635;4334;1.7716;2997.0;1.6013;3817.0;1.567;4884.0;1.9668;;;;
spiegel;labor_market_position;266021;3.9423;11270.0;4.4394;12558.0;4.9807;12392.0;4.8281;11704.0;4.6328;12529.0;4.483;12975.0;4.7231;10979.0;4.188;11459.0;4.6493;10466.0;4.447;10414.0;4.5034;10691.0;4.383;10724.0;4.3014;10656.0;4.2112;10109.0;4.0861;11095.0;4.133;9104.0;3.7208;8570.0;3.4801;9543.0;3.8258;9297.0;3.748;7657.0;2.8633;7587;3.1244;7848.0;2.9509;7761;3.0373;7113;2.9542;7586;3.0541;8136;3.3257;5795.0;3.0963;7885.0;3.237;8415.0;3.3888;;;;
spiegel;profession;589249;8.7323;25086.0;9.8817;22973.0;9.1115;23703.0;9.235;25347.0;10.0331;25844.0;9.2473;25572.0;9.3086;23970.0;9.1436;23819.0;9.6643;20187.0;8.5774;20568.0;8.8944;23334.0;9.5662;22344.0;8.9622;22852.0;9.031;22286.0;9.0082;23033.0;8.5801;20976.0;8.5729;20572.0;8.3538;21057.0;8.4417;21468.0;8.6546;16591.0;6.2041;16364;6.7389;20997.0;7.895;21806;8.534;20634;8.5699;21268;8.5625;19162;7.8327;17429.0;9.3123;18949.0;7.7791;20733.0;8.3494;;;;
spiegel;real_estate_ownership;6366;0.0943;321.0;0.1264;189.0;0.075;245.0;0.0955;291.0;0.1152;309.0;0.1106;273.0;0.0994;236.0;0.09;152.0;0.0617;192.0;0.0816;167.0;0.0722;237.0;0.0972;141.0;0.0566;196.0;0.0775;191.0;0.0772;216.0;0.0805;180.0;0.0736;256.0;0.104;223.0;0.0894;284.0;0.1145;280.0;0.1047;196;0.0807;269.0;0.1011;229;0.0896;268;0.1113;366;0.1474;249;0.1018;210.0;0.1122;323.0;0.1326;486.0;0.1957;;;;
spiegel;social_deviance;65267;0.9672;3125.0;1.231;2845.0;1.1284;3282.0;1.2787;2890.0;1.1439;2725.0;0.975;2958.0;1.0768;3045.0;1.1615;2333.0;0.9466;1984.0;0.843;1930.0;0.8346;2198.0;0.9011;2260.0;0.9065;2316.0;0.9153;2258.0;0.9127;2173.0;0.8095;2066.0;0.8444;2275.0;0.9238;2300.0;0.9221;2288.0;0.9224;1998.0;0.7471;2359;0.9715;2701.0;1.0156;2458;0.962;2302;0.9561;2440;0.9823;2323;0.9496;1434.0;0.7662;1779.0;0.7303;2410.0;0.9705;;;;
spiegel;social_roles_and_behavior;99962;1.4814;3562.0;1.4031;3705.0;1.4695;3683.0;1.4349;4164.0;1.6482;4326.0;1.5479;4184.0;1.523;3968.0;1.5136;3213.0;1.3036;3014.0;1.2806;3164.0;1.3682;3203.0;1.3131;3712.0;1.4889;3773.0;1.4911;3787.0;1.5307;3467.0;1.2915;3246.0;1.3266;3718.0;1.5098;4222.0;1.6926;4231.0;1.7057;3057.0;1.1431;3678;1.5146;4298.0;1.6161;4230;1.6554;4404;1.8291;3883;1.5633;3033;1.2398;3034.0;1.6211;4086.0;1.6774;4780.0;1.925;;;;
spiegel;socio_economic_position;98483;1.4595;3508.0;1.3819;4360.0;1.7293;4152.0;1.6177;4086.0;1.6174;4789.0;1.7136;5330.0;1.9402;4113.0;1.5689;3742.0;1.5183;3270.0;1.3894;3576.0;1.5464;3982.0;1.6325;3698.0;1.4833;3782.0;1.4946;3802.0;1.5368;3689.0;1.3742;3264.0;1.334;3210.0;1.3035;3736.0;1.4978;3690.0;1.4876;2963.0;1.108;3178;1.3087;3671.0;1.3803;3234;1.2657;2907;1.2074;3111;1.2525;3355;1.3714;2224.0;1.1883;3324.0;1.3646;3250.0;1.3088;;;;
sz;age_and_family_status;60564;2.2255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12274;2.487;20393.0;2.1413;6849;2.2642;9792;2.0622;2029;2.3245;9227;2.2457;;;;;;;;;;
sz;identities;44729;1.6436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10810;2.1904;16891.0;1.7736;4269;1.4113;6842;1.4409;987;1.1308;4930;1.1999;;;;;;;;;;
sz;labor_market_position;78090;2.8695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14505;2.9391;27090.0;2.8446;8512;2.814;13115;2.762;2339;2.6797;12529;3.0494;;;;;;;;;;
sz;profession;187128;6.8763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31555;6.3938;61880.0;6.4976;20923;6.917;35066;7.3849;6390;7.3207;31314;7.6214;;;;;;;;;;
sz;real_estate_ownership;7242;0.2661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1252;0.2537;2648.0;0.278;879;0.2906;1479;0.3115;202;0.2314;782;0.1903;;;;;;;;;;
sz;social_deviance;15933;0.5855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2936;0.5949;5882.0;0.6176;1754;0.5799;2819;0.5937;466;0.5339;2076;0.5053;;;;;;;;;;
sz;social_roles_and_behavior;33145;1.218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5864;1.1882;11358.0;1.1926;3717;1.2288;6237;1.3135;1210;1.3862;4759;1.1583;;;;;;;;;;
sz;socio_economic_position;49211;1.8083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8772;1.7774;17758.0;1.8647;5291;1.7492;8416;1.7724;1597;1.8296;7377;1.7954;;;;;;;;;;
welt;age_and_family_status;62334;2.048;;;;;;;;;;;441.0;1.4203;;;;;1592.0;1.8342;4415.0;1.8128;3456.0;2.1275;7214.0;2.2891;3436.0;2.3185;1807.0;2.2604;4039.0;2.3288;3966.0;2.1492;2889.0;1.7553;3274.0;1.9378;3089.0;1.932;3049.0;1.9604;2961;1.933;2347.0;1.7386;1193;1.8423;3544;1.9472;2468;2.3576;2484;2.2584;2133.0;2.18;1346.0;1.8399;1191.0;2.4347;;;;
welt;identities;49419;1.6237;;;;;;;;;;;341.0;1.0983;;;;;1176.0;1.3549;3389.0;1.3915;1999.0;1.2306;4321.0;1.3711;1708.0;1.1525;998.0;1.2484;2019.0;1.1641;2373.0;1.2859;1895.0;1.1514;2220.0;1.314;2191.0;1.3703;2585.0;1.6621;4290;2.8006;3702.0;2.7423;1303;2.0121;4527;2.4873;2001;1.9115;2120;1.9275;1724.0;1.762;1429.0;1.9533;1108.0;2.265;;;;
welt;labor_market_position;141590;4.6521;;;;;;;;;;;1565.0;5.0404;;;;;4358.0;5.021;12686.0;5.2088;8135.0;5.008;15288.0;4.8511;7165.0;4.8347;3552.0;4.4432;6574.0;3.7904;8433.0;4.5699;8072.0;4.9045;8671.0;5.1321;8206.0;5.1323;7461.0;4.7971;6937;4.5286;5743.0;4.2542;2723;4.205;7253;3.985;4551;4.3475;4924;4.4768;4196.0;4.2884;2973.0;4.0639;2124.0;4.342;;;;
welt;profession;257999;8.4768;;;;;;;;;;;2579.0;8.3062;;;;;8444.0;9.7286;23261.0;9.5508;15221.0;9.3702;27479.0;8.7194;11268.0;7.6032;6461.0;8.082;13238.0;7.6328;13575.0;7.3563;12304.0;7.4759;12759.0;7.5517;13134.0;8.2144;11752.0;7.5561;10385;6.7796;10151.0;7.5195;5619;8.6771;17564;9.6501;9907;9.464;9968;9.0627;10371.0;10.5994;7295.0;9.9717;5264.0;10.7609;;;;
welt;real_estate_ownership;8887;0.292;;;;;;;;;;;64.0;0.2061;;;;;182.0;0.2097;592.0;0.2431;393.0;0.2419;683.0;0.2167;439.0;0.2962;257.0;0.3215;541.0;0.3119;622.0;0.3371;511.0;0.3105;448.0;0.2652;362.0;0.2264;469.0;0.3015;628;0.41;501.0;0.3711;198;0.3058;615;0.3379;400;0.3821;360;0.3273;274.0;0.28;219.0;0.2994;129.0;0.2637;;;;
welt;social_deviance;22699;0.7458;;;;;;;;;;;216.0;0.6957;;;;;683.0;0.7869;1702.0;0.6988;1205.0;0.7418;2578.0;0.818;1075.0;0.7254;622.0;0.7781;1394.0;0.8038;1313.0;0.7115;1043.0;0.6337;1123.0;0.6647;1096.0;0.6855;1025.0;0.659;1115;0.7279;1161.0;0.86;533;0.8231;1476;0.811;909;0.8684;954;0.8674;651.0;0.6653;463.0;0.6329;362.0;0.74;;;;
welt;social_roles_and_behavior;35269;1.1588;;;;;;;;;;;281.0;0.905;;;;;922.0;1.0623;2435.0;0.9998;1602.0;0.9862;3219.0;1.0214;1731.0;1.168;900.0;1.1258;2186.0;1.2604;2274.0;1.2323;2174.0;1.3209;2101.0;1.2435;1982.0;1.2396;1914.0;1.2306;1748;1.1411;1661.0;1.2304;866;1.3373;2193;1.2049;1452;1.3871;1133;1.0301;1025.0;1.0476;805.0;1.1004;665.0;1.3594;;;;
welt;socio_economic_position;76497;2.5134;;;;;;;;;;;977.0;3.1466;;;;;2157.0;2.4851;6253.0;2.5674;4231.0;2.6046;8429.0;2.6746;4118.0;2.7787;2076.0;2.5969;3871.0;2.2319;4696.0;2.5448;4580.0;2.7828;4635.0;2.7433;4322.0;2.7031;3933.0;2.5288;4105;2.6798;3585.0;2.6556;1520;2.3472;3857;2.1191;2404;2.2965;2531;2.3011;1915.0;1.9572;1344.0;1.8371;958.0;1.9584;;;;
zeit;age_and_family_status;89213;2.4067;3221.0;1.7068;1034.0;1.6624;1118.0;1.7396;950.0;1.6512;1428.0;1.9261;1744.0;1.9434;1599.0;2.0608;1182.0;2.0748;2481.0;2.504;2237.0;2.0166;2560.0;2.1611;1523.0;2.6627;1385.0;3.1675;2283.0;2.931;2386.0;2.5871;2936.0;2.7101;2890.0;2.44;3301.0;2.4395;4031.0;2.7564;4907.0;2.8294;4919;2.5906;5252.0;2.5137;6031;2.552;5844;2.5028;5087;2.5864;4448;2.5557;4812.0;2.572;3917.0;2.195;3707.0;2.4797;;;;
zeit;identities;80287;2.1659;3708.0;1.9649;1116.0;1.7942;1079.0;1.6789;929.0;1.6147;1178.0;1.5889;1563.0;1.7417;1150.0;1.4821;929.0;1.6307;1807.0;1.8238;1997.0;1.8003;1872.0;1.5803;1487.0;2.5998;850.0;1.9439;1274.0;1.6356;1616.0;1.7522;2465.0;2.2753;1999.0;1.6878;2471.0;1.8261;2987.0;2.0425;3700.0;2.1334;6319;3.3279;6616.0;3.1665;6597;2.7914;6651;2.8484;4372;2.2229;3999;2.2977;3740.0;1.999;2939.0;1.647;2877.0;1.9245;;;;
zeit;labor_market_position;143778;3.8787;9579.0;5.0759;3433.0;5.5194;3446.0;5.3618;3401.0;5.9112;4106.0;5.5382;4869.0;5.4257;4368.0;5.6295;2870.0;5.0377;5126.0;5.1736;5497.0;4.9555;6018.0;5.0804;2886.0;5.0457;2139.0;4.8918;3608.0;4.6321;4305.0;4.6678;4669.0;4.3097;4954.0;4.1827;5696.0;4.2095;6246.0;4.271;6217.0;3.5848;6189;3.2595;6085.0;2.9124;6533;2.7644;6733;2.8835;5706;2.9011;5273;3.0297;5371.0;2.8708;4592.0;2.5733;3863.0;2.5841;;;;
zeit;profession;272411;7.3489;16024.0;8.4911;5323.0;8.558;5496.0;8.5516;5624.0;9.7749;6218.0;8.3869;7264.0;8.0945;6063.0;7.8141;4927.0;8.6484;8206.0;8.2822;9277.0;8.3631;10946.0;9.2406;4542.0;7.941;3290.0;7.5241;6147.0;7.8917;7567.0;8.2048;7852.0;7.2478;8207.0;6.9292;9227.0;6.819;11089.0;7.5826;10722.0;6.1824;11257;5.9285;13700.0;6.5571;18103;7.6601;17132;7.337;14655;7.451;11761;6.7575;13490.0;7.2103;9400.0;5.2676;8902.0;5.9548;;;;
zeit;real_estate_ownership;4397;0.1186;237.0;0.1256;41.0;0.0659;45.0;0.07;52.0;0.0904;73.0;0.0985;115.0;0.1281;67.0;0.0864;45.0;0.079;87.0;0.0878;106.0;0.0956;95.0;0.0802;41.0;0.0717;45.0;0.1029;66.0;0.0847;61.0;0.0661;85.0;0.0785;130.0;0.1098;88.0;0.065;129.0;0.0882;232.0;0.1338;286;0.1506;251.0;0.1201;280;0.1185;425;0.182;369;0.1876;223;0.1281;291.0;0.1555;231.0;0.1294;201.0;0.1345;;;;
zeit;social_deviance;27551;0.7432;1760.0;0.9326;455.0;0.7315;552.0;0.8589;406.0;0.7057;431.0;0.5813;669.0;0.7455;560.0;0.7217;392.0;0.6881;688.0;0.6944;776.0;0.6996;881.0;0.7437;442.0;0.7728;315.0;0.7204;524.0;0.6727;614.0;0.6657;814.0;0.7514;879.0;0.7421;1074.0;0.7937;1042.0;0.7125;1194.0;0.6885;1534;0.8079;1691.0;0.8093;1862;0.7879;2003;0.8578;1309;0.6655;1387;0.7969;1195.0;0.6387;1016.0;0.5694;1086.0;0.7265;;;;
zeit;social_roles_and_behavior;55520;1.4978;2313.0;1.2257;706.0;1.1351;630.0;0.9803;611.0;1.062;876.0;1.1816;996.0;1.1099;853.0;1.0994;649.0;1.1392;1050.0;1.0597;1306.0;1.1773;1370.0;1.1565;755.0;1.32;746.0;1.7061;896.0;1.1503;1323.0;1.4345;1798.0;1.6597;1444.0;1.2192;2281.0;1.6857;2302.0;1.5741;3095.0;1.7846;2915;1.5352;3859.0;1.847;3878;1.6409;3910;1.6745;3566;1.8131;3072;1.7651;3037.0;1.6233;2706.0;1.5164;2577.0;1.7238;;;;
zeit;socio_economic_position;61372;1.6556;3232.0;1.7126;1250.0;2.0097;1410.0;2.1939;1332.0;2.3151;1753.0;2.3645;2364.0;2.6343;1884.0;2.4281;1185.0;2.08;1930.0;1.9479;2140.0;1.9292;2273.0;1.9189;1189.0;2.0788;1013.0;2.3167;1534.0;1.9694;1627.0;1.7641;1851.0;1.7086;2062.0;1.741;2588.0;1.9126;2687.0;1.8374;2742.0;1.5811;2747;1.4467;2960.0;1.4167;3180;1.3456;3247;1.3906;2648;1.3463;2267;1.3025;2285.0;1.2213;2252.0;1.262;1740.0;1.1639;;;;
