outlet;category;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
lemonde;real_estate_ownership;14409;0.1001;440.0;0.1064;495.0;0.1318;556.0;0.1373;379.0;0.0874;292.0;0.0721;448.0;0.0882;622.0;0.0695;828.0;0.112;364.0;0.0716;385.0;0.0767;528.0;0.1162;323.0;0.0867;411.0;0.106;420.0;0.0975;406.0;0.0951;442.0;0.0904;429.0;0.0777;498.0;0.0854;481.0;0.0922;562.0;0.1144;619;0.1166;703.0;0.1395;627;0.1245;748;0.154;580;0.1163;495;0.0987;458.0;0.0987;514.0;0.1046;356.0;0.068;;;;
lemonde;social_deviance;48910;0.3397;1353.0;0.3271;1363.0;0.3629;1535.0;0.3791;1375.0;0.317;1353.0;0.3342;1856.0;0.3654;2790.0;0.3119;3037.0;0.4109;1650.0;0.3244;1772.0;0.3529;1712.0;0.3767;1502.0;0.4029;1313.0;0.3387;1332.0;0.3094;1546.0;0.3622;1638.0;0.3352;1793.0;0.3246;1892.0;0.3244;1992.0;0.3819;1438.0;0.2926;2050;0.3863;1521.0;0.3017;1676;0.3327;1957;0.4029;1723;0.3456;1529;0.3049;1646.0;0.3549;1683.0;0.3423;883.0;0.1688;;;;
lemonde;social_roles_and_behavior;105875;0.7354;2300.0;0.5561;2253.0;0.5999;2470.0;0.61;2720.0;0.6271;2914.0;0.7198;3598.0;0.7084;5241.0;0.586;4631.0;0.6265;3380.0;0.6646;3032.0;0.6038;3049.0;0.6709;2610.0;0.7002;2690.0;0.694;2246.0;0.5217;2538.0;0.5946;3347.0;0.6849;3975.0;0.7195;4531.0;0.7769;4263.0;0.8173;3626.0;0.7379;3558;0.6704;4304.0;0.8538;5254;1.043;5954;1.2257;5295;1.0621;4673;0.9319;4234.0;0.9129;4303.0;0.8753;2886.0;0.5516;;;;
lemonde;socio_economic_position;203647;1.4145;5472.0;1.323;5331.0;1.4194;5674.0;1.4013;5978.0;1.3783;6137.0;1.516;8321.0;1.6383;12469.0;1.3941;10350.0;1.4003;5926.0;1.1652;5884.0;1.1718;6257.0;1.3768;5513.0;1.479;5656.0;1.4591;6464.0;1.5013;6538.0;1.5316;6625.0;1.3557;7833.0;1.4179;8751.0;1.5005;7762.0;1.4881;7682.0;1.5633;7601;1.4322;7075.0;1.4035;7843;1.557;7762;1.598;7804;1.5653;7282;1.4522;6973.0;1.5034;6562.0;1.3348;4122.0;0.7878;;;;
leparisien;age_and_family_status;458727;3.1571;;;;;;;;;;;16837.0;3.4133;23236.0;3.1007;23279.0;3.1533;20791.0;3.7536;20023.0;3.6725;22871.0;4.0586;22627.0;4.1375;16125.0;3.8223;26596.0;2.7853;19910.0;3.3654;20910.0;3.1617;18667.0;2.8703;18936.0;2.8513;20672.0;3.1222;19460.0;2.8526;24876;3.342;26391.0;3.5644;22276;3.4048;19743;3.3424;9555;3.2527;18792;2.6189;11587.0;2.2142;7703.0;1.8731;6864.0;1.8271;;;;
leparisien;identities;149678;1.0301;;;;;;;;;;;3087.0;0.6258;4980.0;0.6646;6126.0;0.8298;5941.0;1.0726;5652.0;1.0367;6401.0;1.1359;6698.0;1.2248;5022.0;1.1904;7608.0;0.7968;5685.0;0.961;6707.0;1.0141;6583.0;1.0122;6491.0;0.9774;7221.0;1.0906;6605.0;0.9682;10412;1.3988;9396.0;1.269;6986;1.0678;6324;1.0706;2991;1.0182;9197;1.2817;6130.0;1.1714;4170.0;1.014;3265.0;0.8691;;;;
leparisien;labor_market_position;490962;3.3789;;;;;;;;;;;16608.0;3.3669;24141.0;3.2215;23699.0;3.2102;21722.0;3.9217;19467.0;3.5706;22132.0;3.9275;21387.0;3.9107;15873.0;3.7626;29311.0;3.0696;24031.0;4.062;23596.0;3.5678;21553.0;3.3141;22420.0;3.3759;23677.0;3.576;22179.0;3.2512;25189;3.3841;25454.0;3.4379;21013;3.2118;20656;3.497;10300;3.5063;23385;3.259;12877.0;2.4607;10415.0;2.5326;9877.0;2.6291;;;;
leparisien;profession;1164464;8.0142;;;;;;;;;;;33364.0;6.7637;56092.0;7.4852;60356.0;8.1756;47131.0;8.509;47224.0;8.6616;45406.0;8.0576;46201.0;8.4481;38990.0;9.2423;67296.0;7.0476;46821.0;7.9143;53087.0;8.0269;54584.0;8.3931;58022.0;8.7367;54660.0;8.2555;60436.0;8.8592;65894;8.8527;59304.0;8.0098;56604;8.6518;47671;8.0706;24280;8.2653;49449;6.8914;34406.0;6.5749;30091.0;7.3172;27095.0;7.2122;;;;
leparisien;real_estate_ownership;53547;0.3685;;;;;;;;;;;2049.0;0.4154;2749.0;0.3668;2930.0;0.3969;3119.0;0.5631;2842.0;0.5213;2975.0;0.5279;2617.0;0.4785;1967.0;0.4663;3184.0;0.3334;2378.0;0.402;2559.0;0.3869;2308.0;0.3549;2377.0;0.3579;2607.0;0.3937;2125.0;0.3115;2698;0.3625;2659.0;0.3591;2295;0.3508;2330;0.3945;958;0.3261;1445;0.2014;887.0;0.1695;843.0;0.205;646.0;0.172;;;;
leparisien;social_deviance;56252;0.3871;;;;;;;;;;;1623.0;0.329;2685.0;0.3583;2996.0;0.4058;2757.0;0.4977;2469.0;0.4529;2515.0;0.4463;2349.0;0.4295;1796.0;0.4257;2658.0;0.2784;2291.0;0.3873;2717.0;0.4108;2535.0;0.3898;2482.0;0.3737;3151.0;0.4759;2548.0;0.3735;2903;0.39;2968.0;0.4009;2425;0.3707;2793;0.4728;1321;0.4497;2230;0.3108;1579.0;0.3017;1254.0;0.3049;1207.0;0.3213;;;;
