model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
profession,3,teachers and educators,0.994584838,1,0.75,0.857142857,0.994584838,0.994584838,0.994584838,0.927191484,0.854440357,0.02166065,0.994926199,0.890972222,554,12
profession,4,athletes,0.967450271,0.966101695,0.780821918,0.863636364,0.967450271,0.967450271,0.967450271,0.922577935,0.845391569,0.132007233,0.989269406,0.963691951,553,73
profession,4,authors and artists,0.981916817,0.878787879,0.828571429,0.852941176,0.981916817,0.981916817,0.981916817,0.921653633,0.843316144,0.063291139,0.993767237,0.877334599,553,35
profession,4,doctors,0.996383363,0.923076923,0.923076923,0.923076923,0.996383363,0.996383363,0.996383363,0.960612536,0.921225071,0.023508137,0.99957265,0.98382643,553,13
profession,4,farmers and fishermen,0.996383363,0.928571429,0.928571429,0.928571429,0.996383363,0.996383363,0.996383363,0.963358071,0.926716141,0.025316456,0.998939836,0.957209667,553,14
profession,4,health and care professionals,0.987341772,0.428571429,0.5,0.461538462,0.987341772,0.987341772,0.987341772,0.727567035,0.455172414,0.01084991,0.992687386,0.701680672,553,6
profession,4,journalists,0.998191682,0.888888889,1,0.941176471,0.998191682,0.998191682,0.998191682,0.970129098,0.940261424,0.014466546,0.999541284,0.970486111,553,8
profession,4,legal professionals,0.996383363,1,0.777777778,0.875,0.996383363,0.996383363,0.996383363,0.936582569,0.873194222,0.016274864,0.996119281,0.884656085,553,9
profession,4,other profession,0.925858951,0.892857143,0.396825397,0.549450549,0.925858951,0.925858951,0.925858951,0.75452823,0.515482423,0.113924051,0.929964367,0.7547821,553,63
profession,4,politicians and high-ranking officials,0.954792043,0.995708155,0.90625,0.948875256,0.954792043,0.954792043,0.954792043,0.954178309,0.908517016,0.462929476,0.99079335,0.991972522,553,256
profession,4,prostitutes,0.998191682,1,0.8,0.888888889,0.998191682,0.998191682,0.998191682,0.943988656,0.887988657,0.009041591,0.990145985,0.83125,553,5
profession,4,scientists and professors,0.987341772,0.909090909,0.625,0.740740741,0.987341772,0.987341772,0.987341772,0.867126626,0.734481103,0.028933092,0.985917132,0.846424057,553,16
profession,4,security forces,0.987341772,0.954545455,0.893617021,0.923076923,0.987341772,0.987341772,0.987341772,0.958090186,0.916188538,0.084990958,0.996720209,0.970769621,553,47
profession,4,soldiers,0.98915009,0.846153846,0.733333333,0.785714286,0.98915009,0.98915009,0.98915009,0.890074212,0.780177554,0.027124774,0.99739777,0.916229872,553,15
profession,4,teachers and educators,0.992766727,0.9,0.75,0.818181818,0.992766727,0.992766727,0.992766727,0.907245891,0.814522891,0.021699819,0.998305607,0.909134153,553,12
