model,hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_binary_mean,precision_binary_std,precision_binary_min,precision_binary_max,recall_binary_mean,recall_binary_std,recall_binary_min,recall_binary_max,f1_binary_mean,f1_binary_std,f1_binary_min,f1_binary_max,precision_micro_mean,precision_micro_std,precision_micro_min,precision_micro_max,recall_micro_mean,recall_micro_std,recall_micro_min,recall_micro_max,f1_micro_mean,f1_micro_std,f1_micro_min,f1_micro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_min,cohen_kappa_max,prevalence_mean,prevalence_std,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max
identities,"people with an immigration background, including immigrants",5,0.941510547,0.021461889,0.919254658,0.974522293,0.964675325,0.039073431,0.909090909,1,0.818181818,0.083505332,0.75,0.909090909,0.88296345,0.047221134,0.835443038,0.952380952,0.941510547,0.021461889,0.919254658,0.974522293,0.941510547,0.021461889,0.919254658,0.974522293,0.941510547,0.021461889,0.919254658,0.974522293,0.921964933,0.030482496,0.890972548,0.967494824,0.844516661,0.060509033,0.782861293,0.935043442,0.274688713,0.003335029,0.271604938,0.280254777,0.967268594,0.039833189,0.897047397,0.996379726,0.957084465,0.035596886,0.898226635,0.991722468
identities,women,5,0.928811011,0.029121395,0.888198758,0.962732919,0.959267933,0.022192831,0.93442623,0.983606557,0.862237762,0.066756667,0.772727273,0.923076923,0.907079832,0.040334587,0.85,0.952380952,0.928811011,0.029121395,0.888198758,0.962732919,0.928811011,0.029121395,0.888198758,0.962732919,0.928811011,0.029121395,0.888198758,0.962732919,0.924673861,0.031519055,0.880445545,0.960884354,0.849846133,0.062467547,0.76230315,0.921819359,0.407032381,0.005057707,0.401234568,0.414012739,0.964198114,0.034491649,0.913476874,0.990544872,0.955719715,0.035025491,0.918367083,0.988891249
business_activity,entrepreneurs (SMEs),5,0.9006271,0.022029981,0.872340426,0.925531915,0.59004329,0.352174546,0,0.857142857,0.366666667,0.209165007,0,0.5,0.447037885,0.253741808,0,0.631578947,0.9006271,0.022029981,0.872340426,0.925531915,0.9006271,0.022029981,0.872340426,0.925531915,0.9006271,0.022029981,0.872340426,0.925531915,0.696057602,0.13121672,0.465909091,0.795079415,0.40436726,0.242856132,-0.019891501,0.593325093,0.124725644,0.004346001,0.117021277,0.127659574,0.835819331,0.114171343,0.670317634,0.978658537,0.646324304,0.209813144,0.311583694,0.884891729
business_activity,entrepreneurs (large enterprises),5,0.858454647,0.054483858,0.789473684,0.936170213,0.965714286,0.048022104,0.9,1,0.6,0.145572684,0.40625,0.8125,0.733681123,0.120429176,0.565217391,0.896551724,0.858454647,0.054483858,0.789473684,0.936170213,0.858454647,0.054483858,0.789473684,0.936170213,0.858454647,0.054483858,0.789473684,0.936170213,0.818523412,0.077487679,0.713164251,0.925198939,0.64710956,0.145968759,0.453080023,0.851108765,0.338275476,0.001962724,0.336842105,0.340425532,0.868369176,0.044508735,0.803427419,0.920362903,0.861286173,0.050883046,0.801591509,0.927467629
business_activity,entrepreneurs in [specific] sector,5,0.672340426,0.035245727,0.610526316,0.694736842,0.94345379,0.035214702,0.913043478,1,0.579411765,0.04719649,0.5,0.617647059,0.716862942,0.038899031,0.647619048,0.738738739,0.672340426,0.035245727,0.610526316,0.694736842,0.672340426,0.035245727,0.610526316,0.694736842,0.672340426,0.035245727,0.610526316,0.694736842,0.663239215,0.033573315,0.606162465,0.689787186,0.376541477,0.055556602,0.288893385,0.433244188,0.718835386,0.004170788,0.715789474,0.723404255,0.768912351,0.047775826,0.735294118,0.844457014,0.904518763,0.022219457,0.883892564,0.940865191
age_family,couples,5,0.986701783,0.010893887,0.975609756,1,0.895,0.100623059,0.8,1,0.778571429,0.214880128,0.571428571,1,0.824761905,0.152915728,0.666666667,1,0.986701783,0.010893887,0.975609756,1,0.986701783,0.010893887,0.975609756,1,0.986701783,0.010893887,0.975609756,1,0.908924527,0.079276156,0.827004219,1,0.818023609,0.158374056,0.654373024,1,0.043157919,0.002404978,0.041176471,0.047337278,0.98706072,0.023876434,0.944846293,1,0.86097267,0.185373441,0.614330469,1
age_family,elderly,5,0.975971464,0.010411688,0.96969697,0.99408284,0.843333333,0.150738921,0.666666667,1,0.542857143,0.211891385,0.285714286,0.857142857,0.639005439,0.179321949,0.444444444,0.923076923,0.975971464,0.010411688,0.96969697,0.99408284,0.975971464,0.010411688,0.96969697,0.99408284,0.975971464,0.010411688,0.96969697,0.99408284,0.813283834,0.092142497,0.714669352,0.96,0.627854097,0.182879353,0.434087883,0.92001893,0.041974487,0.000649236,0.041176471,0.042682927,0.925894579,0.099609632,0.755477651,0.995590829,0.778109285,0.132306921,0.59822244,0.94047619
age_family,middle-aged and pre-retirement age groups,5,0.980791422,0.002905018,0.975609756,0.982352941,0.466666667,0.447213595,0,1,0.25,0.25,0,0.5,0.308571429,0.290249717,0,0.571428571,0.980791422,0.002905018,0.975609756,0.982352941,0.980791422,0.002905018,0.975609756,0.982352941,0.980791422,0.002905018,0.975609756,0.982352941,0.649408698,0.145552441,0.49382716,0.781209781,0.303841331,0.28574199,0,0.562607204,0.022780602,0.00265732,0.018072289,0.024390244,0.948533894,0.055284546,0.866459627,0.990909091,0.593523329,0.237555557,0.213756614,0.85
age_family,minors,5,0.896928014,0.013119368,0.882352941,0.915151515,0.90453541,0.0540487,0.82278481,0.965517241,0.848405797,0.056440989,0.8,0.942028986,0.873063735,0.016500742,0.850746269,0.895522388,0.896928014,0.013119368,0.882352941,0.915151515,0.896928014,0.013119368,0.882352941,0.915151515,0.896928014,0.013119368,0.882352941,0.915151515,0.893000266,0.013376212,0.876829445,0.912046908,0.786550666,0.026792623,0.75397974,0.824334601,0.418540046,0.006599975,0.411764706,0.426829268,0.949736028,0.030413063,0.905285714,0.982683983,0.938251517,0.031876108,0.899567321,0.979901591
age_family,parents and families,5,0.94951944,0.012224273,0.93373494,0.964705882,0.934208494,0.062556365,0.864864865,1,0.842105263,0.018608073,0.815789474,0.868421053,0.88457642,0.023112991,0.853333333,0.914285714,0.94951944,0.012224273,0.93373494,0.964705882,0.94951944,0.012224273,0.93373494,0.964705882,0.94951944,0.012224273,0.93373494,0.964705882,0.926124778,0.015634457,0.905265888,0.946031746,0.85237664,0.031378375,0.810541606,0.892268695,0.227861499,0.003524425,0.223529412,0.231707317,0.967113685,0.01566745,0.947779605,0.98915227,0.935477094,0.033247611,0.887844757,0.974518273
age_family,singles,5,0.994018338,0.004260379,0.987951807,1,0.902857143,0.091696037,0.8,1,0.92,0.109544512,0.8,1,0.907008547,0.072358391,0.8,1,0.994018338,0.004260379,0.987951807,1,0.994018338,0.004260379,0.987951807,1,0.994018338,0.004260379,0.987951807,1,0.951958126,0.037255262,0.89689441,1,0.903931706,0.074510157,0.79378882,1,0.032341679,0.002794514,0.030120482,0.035502959,0.990771739,0.01325911,0.97125,1,0.908309524,0.133686299,0.705833333,1
age_family,youth,5,0.922220141,0.018696352,0.903614458,0.945454545,0.91121312,0.056751495,0.848484848,0.964285714,0.880645161,0.045045936,0.806451613,0.919354839,0.893832044,0.025075553,0.869565217,0.925619835,0.922220141,0.018696352,0.903614458,0.945454545,0.922220141,0.018696352,0.903614458,0.945454545,0.922220141,0.018696352,0.903614458,0.945454545,0.916169298,0.019902833,0.898284314,0.941278817,0.832569152,0.039695205,0.796693203,0.882599415,0.371774024,0.005750378,0.364705882,0.37804878,0.955878369,0.015170701,0.931916873,0.971208924,0.935874648,0.041871878,0.863743787,0.963403588
labor_market_w_entrepreneurs,CEOs and corporate leaders,5,0.962289394,0.009903012,0.95045045,0.977477477,0.855462185,0.144991471,0.705882353,1,0.525714286,0.188820182,0.357142857,0.8,0.630331263,0.130582789,0.476190476,0.782608696,0.962289394,0.009903012,0.95045045,0.977477477,0.962289394,0.009903012,0.95045045,0.977477477,0.962289394,0.009903012,0.95045045,0.977477477,0.805217334,0.067623812,0.725092874,0.885366106,0.612480138,0.133820684,0.45320197,0.771322621,0.064630276,0.002339047,0.062780269,0.067873303,0.935650882,0.026286412,0.913118132,0.976935229,0.721994455,0.076311311,0.636586021,0.792791394
labor_market_w_entrepreneurs,civil servants,5,0.984748319,0.00875773,0.977477477,1,0.955555556,0.099380799,0.777777778,1,0.684444444,0.212219314,0.444444444,1,0.778632479,0.139008824,0.615384615,1,0.984748319,0.00875773,0.977477477,1,0.984748319,0.00875773,0.977477477,1,0.984748319,0.00875773,0.977477477,1,0.885365169,0.071694904,0.801891844,1,0.771322451,0.142815342,0.60554371,1,0.042187296,0.002365696,0.040358744,0.045248869,0.971369035,0.032080113,0.919905213,1,0.878076801,0.073371581,0.808847771,1
labor_market_w_entrepreneurs,employers,5,0.983835225,0.006866637,0.972850679,0.990990991,0.884615385,0.080752409,0.785714286,1,0.854945055,0.068692307,0.785714286,0.923076923,0.866964591,0.051228091,0.785714286,0.923076923,0.983835225,0.006866637,0.972850679,0.990990991,0.983835225,0.006866637,0.972850679,0.990990991,0.983835225,0.006866637,0.972850679,0.990990991,0.929179141,0.027447218,0.885610766,0.959146117,0.858382107,0.054902753,0.771221532,0.918292234,0.061038541,0.002318129,0.058558559,0.063348416,0.965263932,0.03000729,0.931331953,0.997791682,0.881513107,0.072860003,0.778023366,0.975708502
labor_market_w_entrepreneurs,entrepreneur,5,0.832120327,0.032781163,0.797297297,0.882882883,0.910548988,0.05151983,0.822222222,0.948051948,0.680767544,0.087657928,0.572916667,0.770833333,0.77508842,0.053270987,0.709677419,0.848837209,0.832120327,0.032781163,0.797297297,0.882882883,0.832120327,0.032781163,0.797297297,0.882882883,0.832120327,0.032781163,0.797297297,0.882882883,0.82028197,0.037699994,0.776984038,0.876624487,0.646289461,0.071353013,0.567195217,0.754946081,0.430004307,0.003774233,0.424778761,0.43438914,0.921115038,0.031244938,0.87202381,0.949937837,0.91466131,0.032406488,0.876967643,0.951358166
labor_market_w_entrepreneurs,housewife and househusband,5,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.018859361,0.002108792,0.017699115,0.022624434,1,0,1,1,1,0,1,1
labor_market_w_entrepreneurs,retirees,5,0.990117867,0.004945972,0.981981982,0.995515695,0.81,0.207364414,0.5,1,0.66,0.147478812,0.5,0.8,0.714761905,0.138938313,0.5,0.857142857,0.990117867,0.004945972,0.981981982,0.995515695,0.990117867,0.004945972,0.981981982,0.995515695,0.990117867,0.004945972,0.981981982,0.995515695,0.854865622,0.07064505,0.745412844,0.927432476,0.709841527,0.141259973,0.490825688,0.854912167,0.018859361,0.002108792,0.017699115,0.022624434,0.958792321,0.080357796,0.815068493,0.996621622,0.806260375,0.054533025,0.743333333,0.861111111
labor_market_w_entrepreneurs,self-employed and freelancers,5,0.993717682,0.00512003,0.986547085,1,0.88,0.178885438,0.6,1,0.766666667,0.272590454,0.333333333,1,0.782539683,0.19838095,0.5,1,0.993717682,0.00512003,0.986547085,1,0.993717682,0.00512003,0.986547085,1,0.993717682,0.00512003,0.986547085,1,0.889673178,0.100244554,0.747727273,1,0.779607687,0.20007969,0.496598639,1,0.016152582,0.002413335,0.013513514,0.018099548,0.996882842,0.003791943,0.99238965,1,0.861666667,0.168077363,0.666666667,1
labor_market_w_entrepreneurs,unemployed,5,0.982938725,0.006699327,0.972972973,0.990950226,0.9,0.104582503,0.75,1,0.709090909,0.07793831,0.6,0.818181818,0.792865497,0.087011177,0.666666667,0.9,0.982938725,0.006699327,0.972972973,0.990950226,0.982938725,0.006699327,0.972972973,0.990950226,0.982938725,0.006699327,0.972972973,0.990950226,0.891983977,0.045245679,0.82629108,0.947630332,0.784098312,0.090456001,0.652763295,0.895310279,0.046675892,0.002359137,0.044843049,0.049773756,0.968212823,0.014386367,0.954460094,0.988679245,0.855393204,0.079827685,0.742879626,0.918991899
labor_market_w_entrepreneurs,wage and salary earners,5,0.910136017,0.021310896,0.882352941,0.933628319,0.946973363,0.025006199,0.918918919,0.971830986,0.8169279,0.038688249,0.772727273,0.863636364,0.876887653,0.029556533,0.839506173,0.910179641,0.910136017,0.021310896,0.882352941,0.933628319,0.910136017,0.021310896,0.882352941,0.933628319,0.910136017,0.021310896,0.882352941,0.933628319,0.903060453,0.023096789,0.873324515,0.928774031,0.806792307,0.045876598,0.747739046,0.857790083,0.392297778,0.003472689,0.389380531,0.398190045,0.957864549,0.013546737,0.944634313,0.974555336,0.950680729,0.018561423,0.930704136,0.973627613
