accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9886363636363636,1.0,0.8888888888888888,0.9411764705882353,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9674435812060673,0.9349112426035503,0.10227272727272728,0.9929676511954992,0.9603174603174605,Bild,88,9
0.993006993006993,1.0,0.9230769230769231,0.96,0.993006993006993,0.993006993006993,0.993006993006993,0.9780842911877394,0.9561752988047809,0.09090909090909091,1.0,0.9999999999999998,FAZ,143,13
0.9659090909090909,0.9285714285714286,0.7222222222222222,0.8125,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.896875,0.7940717628705147,0.10227272727272728,0.9518284106891701,0.8320493320802105,Figaro,176,18
0.9696969696969697,1.0,0.6666666666666666,0.8,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8918032786885246,0.7843137254901961,0.09090909090909091,1.0,1.0,Liberation,33,3
0.9818181818181818,1.0,0.8,0.8888888888888888,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9394939493949395,0.8791208791208791,0.09090909090909091,0.976,0.8909090909090909,Mediapart,55,5
0.9636363636363636,0.9,0.75,0.8181818181818182,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.898989898989899,0.7981651376146789,0.10909090909090909,0.9821428571428572,0.9190366306745618,Monde,110,12
0.9834710743801653,1.0,0.8181818181818182,0.9,0.9834710743801653,0.9834710743801653,0.9834710743801653,0.9454954954954955,0.8910891089108911,0.09090909090909091,0.9991735537190083,0.9924242424242425,MondeDiplo,121,11
0.9886363636363636,1.0,0.875,0.9333333333333333,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9635610766045548,0.9271523178807947,0.09090909090909091,1.0,1.0,Parisien,88,8
0.9793388429752066,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9793388429752066,0.9793388429752066,0.9793388429752066,0.9470297246421223,0.8940640868499388,0.1115702479338843,0.990869939707149,0.9199267612025783,SZ,242,27
0.9636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9213286713286714,0.8426573426573427,0.13333333333333333,0.9536713286713286,0.8960202062570035,Spiegel,330,44
0.9810606060606061,0.9130434782608695,0.875,0.8936170212765957,0.9810606060606061,0.9810606060606061,0.9810606060606061,0.9416110054407927,0.8832271762208068,0.09090909090909091,0.9730902777777778,0.8435530439736107,Welt,264,24
0.9545454545454546,1.0,0.6153846153846154,0.7619047619047619,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8683895668820292,0.7383444338725024,0.11818181818181818,0.9960348929421095,0.9745879120879117,Zeit,110,13
