accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,roc_auc,pr_auc,decade,n_pairs,n_pos_entail
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,1.0,1.0,1990.0,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2010.0,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,12,4
0.9333333333333333,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9282296650717703,0.8564593301435407,0.9784688995215312,0.9722673160173159,,60,22
